size intersection,size union,state,k,mean JI
3,17,filledlowerupper_,10,0.17647058823529413
35,185,filledlowerupper_,110,0.1891891891891892
67,353,filledlowerupper_,210,0.18980169971671387
97,523,filledlowerupper_,310,0.18546845124282982
133,687,filledlowerupper_,410,0.19359534206695778
160,860,filledlowerupper_,510,0.18604651162790697
191,1029,filledlowerupper_,610,0.18561710398445092
232,1188,filledlowerupper_,710,0.19528619528619529
270,1350,filledlowerupper_,810,0.2
306,1514,filledlowerupper_,910,0.202113606340819
334,1686,filledlowerupper_,1010,0.1981020166073547
363,1857,filledlowerupper_,1110,0.19547657512116318
401,2019,filledlowerupper_,1210,0.1986131748390292
435,2185,filledlowerupper_,1310,0.19908466819221968
472,2348,filledlowerupper_,1410,0.2010221465076661
507,2513,filledlowerupper_,1510,0.20175089534421012
537,2683,filledlowerupper_,1610,0.2001490868430861
570,2850,filledlowerupper_,1710,0.2
606,3014,filledlowerupper_,1810,0.20106171201061712
639,3181,filledlowerupper_,1910,0.200880226343917
683,3337,filledlowerupper_,2010,0.20467485765657775
716,3504,filledlowerupper_,2110,0.204337899543379
745,3675,filledlowerupper_,2210,0.20272108843537415
787,3833,filledlowerupper_,2310,0.20532220193060266
818,4002,filledlowerupper_,2410,0.20439780109945027
854,4166,filledlowerupper_,2510,0.20499279884781565
885,4335,filledlowerupper_,2610,0.2041522491349481
923,4497,filledlowerupper_,2710,0.20524794307315988
970,4650,filledlowerupper_,2810,0.2086021505376344
1002,4818,filledlowerupper_,2910,0.20797011207970112
1031,4989,filledlowerupper_,3010,0.2066546402084586
1069,5151,filledlowerupper_,3110,0.20753251795767813
1100,5320,filledlowerupper_,3210,0.20676691729323307
1128,5492,filledlowerupper_,3310,0.20538965768390385
1167,5653,filledlowerupper_,3410,0.20643905890677516
1205,5815,filledlowerupper_,3510,0.20722269991401548
1240,5980,filledlowerupper_,3610,0.20735785953177258
1280,6140,filledlowerupper_,3710,0.20846905537459284
1315,6305,filledlowerupper_,3810,0.20856463124504362
1353,6467,filledlowerupper_,3910,0.2092160197927942
1386,6634,filledlowerupper_,4010,0.20892372625866748
1416,6804,filledlowerupper_,4110,0.20811287477954143
1458,6962,filledlowerupper_,4210,0.2094225797184717
1499,7121,filledlowerupper_,4310,0.21050414267659037
1530,7290,filledlowerupper_,4410,0.20987654320987653
1575,7445,filledlowerupper_,4510,0.21155137676292815
1609,7611,filledlowerupper_,4610,0.21140454605176717
1631,7789,filledlowerupper_,4710,0.20939786878931826
1661,7959,filledlowerupper_,4810,0.20869455961804248
1694,8126,filledlowerupper_,4910,0.20846665025842973
