size intersection,size union,state,k,mean JI
4,16,filledblack or african americanwhite_,10,0.25
47,173,filledblack or african americanwhite_,110,0.27167630057803466
100,320,filledblack or african americanwhite_,210,0.3125
157,463,filledblack or african americanwhite_,310,0.3390928725701944
212,608,filledblack or african americanwhite_,410,0.34868421052631576
276,744,filledblack or african americanwhite_,510,0.3709677419354839
326,894,filledblack or african americanwhite_,610,0.36465324384787473
386,1034,filledblack or african americanwhite_,710,0.3733075435203095
439,1181,filledblack or african americanwhite_,810,0.37171888230313294
497,1323,filledblack or african americanwhite_,910,0.37566137566137564
567,1453,filledblack or african americanwhite_,1010,0.39022711631108054
622,1598,filledblack or african americanwhite_,1110,0.38923654568210264
678,1742,filledblack or african americanwhite_,1210,0.38920780711825487
741,1879,filledblack or african americanwhite_,1310,0.3943587014369345
802,2018,filledblack or african americanwhite_,1410,0.39742319127849357
851,2169,filledblack or african americanwhite_,1510,0.39234670355002305
909,2311,filledblack or african americanwhite_,1610,0.39333621808740804
970,2450,filledblack or african americanwhite_,1710,0.39591836734693875
1026,2594,filledblack or african americanwhite_,1810,0.39552814186584423
1089,2731,filledblack or african americanwhite_,1910,0.3987550347857928
1147,2873,filledblack or african americanwhite_,2010,0.39923424991298295
1194,3026,filledblack or african americanwhite_,2110,0.39458030403172506
1252,3168,filledblack or african americanwhite_,2210,0.3952020202020202
1304,3316,filledblack or african americanwhite_,2310,0.39324487334137515
1357,3463,filledblack or african americanwhite_,2410,0.39185677158533067
1408,3612,filledblack or african americanwhite_,2510,0.38981173864894797
1460,3760,filledblack or african americanwhite_,2610,0.3882978723404255
1508,3912,filledblack or african americanwhite_,2710,0.38548057259713703
1560,4060,filledblack or african americanwhite_,2810,0.3842364532019704
1615,4205,filledblack or african americanwhite_,2910,0.38406658739595717
1668,4352,filledblack or african americanwhite_,3010,0.38327205882352944
1708,4512,filledblack or african americanwhite_,3110,0.37854609929078015
1754,4666,filledblack or african americanwhite_,3210,0.37591084440634376
1804,4816,filledblack or african americanwhite_,3310,0.3745847176079734
1841,4979,filledblack or african americanwhite_,3410,0.36975296244225747
1882,5138,filledblack or african americanwhite_,3510,0.36629038536395486
1918,5302,filledblack or african americanwhite_,3610,0.36175028291210864
1964,5456,filledblack or african americanwhite_,3710,0.35997067448680353
2010,5610,filledblack or african americanwhite_,3810,0.3582887700534759
2065,5755,filledblack or african americanwhite_,3910,0.35881841876629017
2109,5911,filledblack or african americanwhite_,4010,0.3567924209101675
2146,6074,filledblack or african americanwhite_,4110,0.35330918669739875
2190,6230,filledblack or african americanwhite_,4210,0.35152487961476725
2227,6393,filledblack or african americanwhite_,4310,0.3483497575473174
2264,6556,filledblack or african americanwhite_,4410,0.34533251982916413
2303,6717,filledblack or african americanwhite_,4510,0.3428613964567515
2351,6869,filledblack or african americanwhite_,4610,0.3422623380404717
2392,7028,filledblack or african americanwhite_,4710,0.34035287421741606
2425,7195,filledblack or african americanwhite_,4810,0.3370396108408617
2468,7352,filledblack or african americanwhite_,4910,0.33569096844396085
