size intersection,size union,state,k,mean JI
7,13,filledfemalemale_,10,0.5384615384615384
73,147,filledfemalemale_,110,0.4965986394557823
135,285,filledfemalemale_,210,0.47368421052631576
195,425,filledfemalemale_,310,0.4588235294117647
255,565,filledfemalemale_,410,0.45132743362831856
338,682,filledfemalemale_,510,0.49560117302052786
410,810,filledfemalemale_,610,0.5061728395061729
481,939,filledfemalemale_,710,0.5122470713525027
562,1058,filledfemalemale_,810,0.5311909262759924
635,1185,filledfemalemale_,910,0.5358649789029536
711,1309,filledfemalemale_,1010,0.5431627196333079
790,1430,filledfemalemale_,1110,0.5524475524475524
866,1554,filledfemalemale_,1210,0.5572715572715573
948,1672,filledfemalemale_,1310,0.5669856459330144
1024,1796,filledfemalemale_,1410,0.5701559020044543
1100,1920,filledfemalemale_,1510,0.5729166666666666
1178,2042,filledfemalemale_,1610,0.5768854064642507
1253,2167,filledfemalemale_,1710,0.5782187355791417
1336,2284,filledfemalemale_,1810,0.5849387040280211
1416,2404,filledfemalemale_,1910,0.589018302828619
1504,2516,filledfemalemale_,2010,0.5977742448330684
1588,2632,filledfemalemale_,2110,0.6033434650455927
1662,2758,filledfemalemale_,2210,0.602610587382161
1735,2885,filledfemalemale_,2310,0.6013864818024264
1811,3009,filledfemalemale_,2410,0.6018610834164174
1895,3125,filledfemalemale_,2510,0.6064
1978,3242,filledfemalemale_,2610,0.6101172115977791
2057,3363,filledfemalemale_,2710,0.6116562592922985
2138,3482,filledfemalemale_,2810,0.614014933946008
2216,3604,filledfemalemale_,2910,0.6148723640399556
2289,3731,filledfemalemale_,3010,0.6135084427767354
2369,3851,filledfemalemale_,3110,0.615164892235783
2446,3974,filledfemalemale_,3210,0.6155007549068948
2527,4093,filledfemalemale_,3310,0.617395553383826
2603,4217,filledfemalemale_,3410,0.617263457434195
2672,4348,filledfemalemale_,3510,0.6145354185832567
2751,4469,filledfemalemale_,3610,0.6155739539046766
2823,4597,filledfemalemale_,3710,0.6140961496628236
2914,4706,filledfemalemale_,3810,0.619209519762006
2982,4838,filledfemalemale_,3910,0.6163704009921455
3064,4956,filledfemalemale_,4010,0.6182405165456013
3137,5083,filledfemalemale_,4110,0.6171552232933307
3200,5220,filledfemalemale_,4210,0.6130268199233716
3279,5341,filledfemalemale_,4310,0.6139299756599887
3360,5460,filledfemalemale_,4410,0.6153846153846154
3444,5576,filledfemalemale_,4510,0.6176470588235294
3516,5704,filledfemalemale_,4610,0.6164095371669004
3575,5845,filledfemalemale_,4710,0.611633875106929
3646,5974,filledfemalemale_,4810,0.610311349179779
3732,6088,filledfemalemale_,4910,0.6130091984231275
