size intersection,size union,state,k,mean JI
4,16,filledblack or african americanwhite_,10,0.25
51,169,filledblack or african americanwhite_,110,0.30177514792899407
95,325,filledblack or african americanwhite_,210,0.2923076923076923
135,485,filledblack or african americanwhite_,310,0.27835051546391754
190,630,filledblack or african americanwhite_,410,0.30158730158730157
247,773,filledblack or african americanwhite_,510,0.31953428201811124
281,939,filledblack or african americanwhite_,610,0.2992545260915868
341,1079,filledblack or african americanwhite_,710,0.3160333642261353
387,1233,filledblack or african americanwhite_,810,0.31386861313868614
445,1375,filledblack or african americanwhite_,910,0.3236363636363636
502,1518,filledblack or african americanwhite_,1010,0.33069828722002637
558,1662,filledblack or african americanwhite_,1110,0.33574007220216606
599,1821,filledblack or african americanwhite_,1210,0.32894014277869305
642,1978,filledblack or african americanwhite_,1310,0.32457027300303337
704,2116,filledblack or african americanwhite_,1410,0.332703213610586
754,2266,filledblack or african americanwhite_,1510,0.3327449249779347
796,2424,filledblack or african americanwhite_,1610,0.32838283828382836
852,2568,filledblack or african americanwhite_,1710,0.3317757009345794
902,2718,filledblack or african americanwhite_,1810,0.3318616629874908
951,2869,filledblack or african americanwhite_,1910,0.33147438131753226
1010,3010,filledblack or african americanwhite_,2010,0.33554817275747506
1063,3157,filledblack or african americanwhite_,2110,0.3367120684193855
1106,3314,filledblack or african americanwhite_,2210,0.33373566686783346
1149,3471,filledblack or african americanwhite_,2310,0.331028522039758
1207,3613,filledblack or african americanwhite_,2410,0.33407140880154995
1256,3764,filledblack or african americanwhite_,2510,0.3336875664187035
1315,3905,filledblack or african americanwhite_,2610,0.33674775928297057
1364,4056,filledblack or african americanwhite_,2710,0.33629191321499013
1412,4208,filledblack or african americanwhite_,2810,0.3355513307984791
1456,4364,filledblack or african americanwhite_,2910,0.33363886342804766
1497,4523,filledblack or african americanwhite_,3010,0.33097501658191464
1544,4676,filledblack or african americanwhite_,3110,0.330196749358426
1590,4830,filledblack or african americanwhite_,3210,0.32919254658385094
1639,4981,filledblack or african americanwhite_,3310,0.3290503914876531
1679,5141,filledblack or african americanwhite_,3410,0.3265901575568955
1716,5304,filledblack or african americanwhite_,3510,0.3235294117647059
1758,5462,filledblack or african americanwhite_,3610,0.3218601244965214
1796,5624,filledblack or african americanwhite_,3710,0.31934566145092463
1832,5788,filledblack or african americanwhite_,3810,0.31651693158258465
1883,5937,filledblack or african americanwhite_,3910,0.3171635506147886
1931,6089,filledblack or african americanwhite_,4010,0.3171292494662506
1968,6252,filledblack or african americanwhite_,4110,0.31477927063339733
2016,6404,filledblack or african americanwhite_,4210,0.31480324797001874
2061,6559,filledblack or african americanwhite_,4310,0.3142247293794786
2105,6715,filledblack or african americanwhite_,4410,0.31347728965003724
2148,6872,filledblack or african americanwhite_,4510,0.31257275902211873
2197,7023,filledblack or african americanwhite_,4610,0.31282927523850207
2229,7191,filledblack or african americanwhite_,4710,0.30997079682937007
2270,7350,filledblack or african americanwhite_,4810,0.308843537414966
2310,7510,filledblack or african americanwhite_,4910,0.30758988015978694
