size intersection,size union,state,k,mean JI
5,15,filledlowerupper_,10,0.3333333333333333
57,163,filledlowerupper_,110,0.3496932515337423
90,330,filledlowerupper_,210,0.2727272727272727
123,497,filledlowerupper_,310,0.24748490945674045
170,650,filledlowerupper_,410,0.26153846153846155
215,805,filledlowerupper_,510,0.2670807453416149
263,957,filledlowerupper_,610,0.27481713688610243
304,1116,filledlowerupper_,710,0.2724014336917563
339,1281,filledlowerupper_,810,0.2646370023419204
379,1441,filledlowerupper_,910,0.2630117973629424
431,1589,filledlowerupper_,1010,0.2712397734424166
476,1744,filledlowerupper_,1110,0.27293577981651373
512,1908,filledlowerupper_,1210,0.26834381551362685
563,2057,filledlowerupper_,1310,0.27369956246961596
606,2214,filledlowerupper_,1410,0.27371273712737126
656,2364,filledlowerupper_,1510,0.27749576988155666
702,2518,filledlowerupper_,1610,0.27879269261318507
742,2678,filledlowerupper_,1710,0.2770724421209858
793,2827,filledlowerupper_,1810,0.2805093738945879
840,2980,filledlowerupper_,1910,0.28187919463087246
880,3140,filledlowerupper_,2010,0.2802547770700637
926,3294,filledlowerupper_,2110,0.28111718275652703
965,3455,filledlowerupper_,2210,0.2793053545586107
1006,3614,filledlowerupper_,2310,0.2783619258439402
1067,3753,filledlowerupper_,2410,0.2843058886224354
1109,3911,filledlowerupper_,2510,0.28355919202250063
1175,4045,filledlowerupper_,2610,0.2904820766378245
1218,4202,filledlowerupper_,2710,0.28986197049024276
1267,4353,filledlowerupper_,2810,0.2910636342752125
1329,4491,filledlowerupper_,2910,0.2959251837007348
1385,4635,filledlowerupper_,3010,0.2988133764832794
1439,4781,filledlowerupper_,3110,0.30098305793766994
1498,4922,filledlowerupper_,3210,0.30434782608695654
1544,5076,filledlowerupper_,3310,0.3041765169424744
1590,5230,filledlowerupper_,3410,0.30401529636711283
1650,5370,filledlowerupper_,3510,0.30726256983240224
1701,5519,filledlowerupper_,3610,0.30820800869722775
1762,5658,filledlowerupper_,3710,0.31141746200070697
1812,5808,filledlowerupper_,3810,0.3119834710743802
1859,5961,filledlowerupper_,3910,0.31186042610300285
1919,6101,filledlowerupper_,4010,0.31453860022947056
1968,6252,filledlowerupper_,4110,0.31477927063339733
2013,6407,filledlowerupper_,4210,0.3141876073045107
2055,6565,filledlowerupper_,4310,0.31302361005331303
2110,6710,filledlowerupper_,4410,0.3144560357675112
2159,6861,filledlowerupper_,4510,0.3146771607637371
2210,7010,filledlowerupper_,4610,0.3152639087018545
2264,7156,filledlowerupper_,4710,0.31637786472889884
2316,7304,filledlowerupper_,4810,0.31708652792990144
2365,7455,filledlowerupper_,4910,0.31723675385647215
