size intersection,size union,state,k,mean JI
6,14,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.5079365079365079
57,163,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.4210515966650936
105,315,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.40196078431372545
156,464,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.4109818807522198
207,613,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.4142788821185848
259,761,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.4185967423272898
312,908,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.4162342775131062
359,1061,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.4136974032607667
418,1202,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.42372230645307213
475,1345,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.43313815463183064
515,1505,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.43069027299674006
583,1637,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.4403960447239465
639,1781,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.4405542749884215
684,1936,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.43376758068493454
733,2087,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.4369486241435505
789,2231,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.44087659743365376
848,2372,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.4461164673904221
907,2513,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.44626612535744997
971,2649,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.45176675762780655
1019,2801,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.44936121304439497
1076,2944,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.4496975890597768
1126,3094,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.4489431415008276
1176,3244,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.45160064571124026
1230,3390,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.4514859031637049
1286,3534,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.45531926010243146
1346,3674,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.4574878433951463
1408,3812,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.4570290918573147
1464,3956,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.45668541563847415
1526,4094,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.4598989439600465
1591,4229,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.46181001416658646
1665,4355,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.46505459347568595
1719,4501,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.46550807756405915
1770,4650,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.4663657529563326
1826,4794,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.4671933869702383
1887,4933,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.4682589038616136
1951,5069,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.4701655330605847
2000,5220,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.46952263293858126
2062,5358,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.46986646896800804
2116,5504,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.46974029002528644
2170,5650,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.46881182044769526
2227,5793,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.4694385032305332
2283,5937,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.46915450698397826
2337,6083,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.4669109933845906
2391,6229,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.466151747223222
2449,6371,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.4678421323443899
2501,6519,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.4668090544334736
2560,6660,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.46735506774042695
2613,6807,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.4668752763564943
2665,6955,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.46693701784888764
2716,7104,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.46562298738159374
