size intersection,size union,state,k,mean JI
6,14,filledlowerupper_,10,0.42857142857142855
57,163,filledlowerupper_,110,0.3496932515337423
92,328,filledlowerupper_,210,0.2804878048780488
110,510,filledlowerupper_,310,0.21568627450980393
133,687,filledlowerupper_,410,0.19359534206695778
148,872,filledlowerupper_,510,0.16972477064220184
163,1057,filledlowerupper_,610,0.15421002838221382
182,1238,filledlowerupper_,710,0.1470113085621971
199,1421,filledlowerupper_,810,0.14004222378606615
214,1606,filledlowerupper_,910,0.13325031133250312
232,1788,filledlowerupper_,1010,0.1297539149888143
260,1960,filledlowerupper_,1110,0.1326530612244898
282,2138,filledlowerupper_,1210,0.13189897100093545
304,2316,filledlowerupper_,1310,0.13126079447322972
328,2492,filledlowerupper_,1410,0.13162118780096307
352,2668,filledlowerupper_,1510,0.13193403298350825
377,2843,filledlowerupper_,1610,0.13260640168835736
397,3023,filledlowerupper_,1710,0.1313264968574264
423,3197,filledlowerupper_,1810,0.13231154207069126
445,3375,filledlowerupper_,1910,0.13185185185185186
478,3542,filledlowerupper_,2010,0.13495200451722192
500,3720,filledlowerupper_,2110,0.13440860215053763
525,3895,filledlowerupper_,2210,0.13478818998716302
545,4075,filledlowerupper_,2310,0.13374233128834356
568,4252,filledlowerupper_,2410,0.13358419567262464
592,4428,filledlowerupper_,2510,0.13369467028003612
615,4605,filledlowerupper_,2610,0.13355048859934854
647,4773,filledlowerupper_,2710,0.13555415880997276
666,4954,filledlowerupper_,2810,0.1344368187323375
696,5124,filledlowerupper_,2910,0.1358313817330211
719,5301,filledlowerupper_,3010,0.13563478588945482
746,5474,filledlowerupper_,3110,0.13628059919620022
768,5652,filledlowerupper_,3210,0.13588110403397027
793,5827,filledlowerupper_,3310,0.13609061266517933
821,5999,filledlowerupper_,3410,0.1368561426904484
858,6162,filledlowerupper_,3510,0.13924050632911392
891,6329,filledlowerupper_,3610,0.14078053404961288
921,6499,filledlowerupper_,3710,0.14171410986305585
939,6681,filledlowerupper_,3810,0.14054782218230805
967,6853,filledlowerupper_,3910,0.14110608492630963
997,7023,filledlowerupper_,4010,0.1419621244482415
1023,7197,filledlowerupper_,4110,0.1421425593997499
1040,7380,filledlowerupper_,4210,0.14092140921409213
1076,7544,filledlowerupper_,4310,0.14262990455991517
1094,7726,filledlowerupper_,4410,0.14159979290706703
1123,7897,filledlowerupper_,4510,0.1422059009750538
1148,8072,filledlowerupper_,4610,0.14222001982160554
1178,8242,filledlowerupper_,4710,0.14292647415675808
1209,8411,filledlowerupper_,4810,0.1437403400309119
1233,8587,filledlowerupper_,4910,0.14358914638406894
