size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
37,183,filledblack or african americanwhite_,110,0.20218579234972678
70,350,filledblack or african americanwhite_,210,0.2
113,507,filledblack or african americanwhite_,310,0.22287968441814596
138,682,filledblack or african americanwhite_,410,0.20234604105571846
164,856,filledblack or african americanwhite_,510,0.19158878504672897
187,1033,filledblack or african americanwhite_,610,0.18102613746369797
209,1211,filledblack or african americanwhite_,710,0.17258464079273328
229,1391,filledblack or african americanwhite_,810,0.16462976276060387
251,1569,filledblack or african americanwhite_,910,0.15997450605481198
268,1752,filledblack or african americanwhite_,1010,0.15296803652968036
300,1920,filledblack or african americanwhite_,1110,0.15625
335,2085,filledblack or african americanwhite_,1210,0.1606714628297362
369,2251,filledblack or african americanwhite_,1310,0.16392714349178142
389,2431,filledblack or african americanwhite_,1410,0.1600164541341012
421,2599,filledblack or african americanwhite_,1510,0.16198537899191998
438,2782,filledblack or african americanwhite_,1610,0.15744069015097054
467,2953,filledblack or african americanwhite_,1710,0.1581442600745005
493,3127,filledblack or african americanwhite_,1810,0.1576590981771666
521,3299,filledblack or african americanwhite_,1910,0.1579266444377084
553,3467,filledblack or african americanwhite_,2010,0.15950389385635996
581,3639,filledblack or african americanwhite_,2110,0.15965924704589174
599,3821,filledblack or african americanwhite_,2210,0.15676524470034023
619,4001,filledblack or african americanwhite_,2310,0.15471132216945763
656,4164,filledblack or african americanwhite_,2410,0.1575408261287224
684,4336,filledblack or african americanwhite_,2510,0.1577490774907749
710,4510,filledblack or african americanwhite_,2610,0.1574279379157428
732,4688,filledblack or african americanwhite_,2710,0.1561433447098976
756,4864,filledblack or african americanwhite_,2810,0.15542763157894737
776,5044,filledblack or african americanwhite_,2910,0.15384615384615385
803,5217,filledblack or african americanwhite_,3010,0.15391987732413265
832,5388,filledblack or african americanwhite_,3110,0.1544172234595397
854,5566,filledblack or african americanwhite_,3210,0.15343154868846567
878,5742,filledblack or african americanwhite_,3310,0.15290839428770464
910,5910,filledblack or african americanwhite_,3410,0.15397631133671744
934,6086,filledblack or african americanwhite_,3510,0.1534669733815314
965,6255,filledblack or african americanwhite_,3610,0.1542765787370104
990,6430,filledblack or african americanwhite_,3710,0.15396578538102643
1024,6596,filledblack or african americanwhite_,3810,0.15524560339599758
1048,6772,filledblack or african americanwhite_,3910,0.15475487300649735
1077,6943,filledblack or african americanwhite_,4010,0.15512026501512313
1097,7123,filledblack or african americanwhite_,4110,0.15400814263652957
1126,7294,filledblack or african americanwhite_,4210,0.1543734576364135
1152,7468,filledblack or african americanwhite_,4310,0.1542581681842528
1176,7644,filledblack or african americanwhite_,4410,0.15384615384615385
1203,7817,filledblack or african americanwhite_,4510,0.15389535627478573
1228,7992,filledblack or african americanwhite_,4610,0.15365365365365366
1254,8166,filledblack or african americanwhite_,4710,0.1535635562086701
1276,8344,filledblack or african americanwhite_,4810,0.1529242569511026
1305,8515,filledblack or african americanwhite_,4910,0.15325895478567234
