size intersection,size union,state,k,mean JI
7,13,filledfemalemale_,10,0.5384615384615384
87,133,filledfemalemale_,110,0.6541353383458647
132,288,filledfemalemale_,210,0.4583333333333333
165,455,filledfemalemale_,310,0.3626373626373626
188,632,filledfemalemale_,410,0.2974683544303797
221,799,filledfemalemale_,510,0.2765957446808511
253,967,filledfemalemale_,610,0.26163391933815927
279,1141,filledfemalemale_,710,0.24452234881682736
314,1306,filledfemalemale_,810,0.24042879019908117
342,1478,filledfemalemale_,910,0.2313937753721245
377,1643,filledfemalemale_,1010,0.22945830797321973
407,1813,filledfemalemale_,1110,0.22448979591836735
443,1977,filledfemalemale_,1210,0.2240768841679312
483,2137,filledfemalemale_,1310,0.22601778193729527
516,2304,filledfemalemale_,1410,0.22395833333333334
558,2462,filledfemalemale_,1510,0.22664500406173843
592,2628,filledfemalemale_,1610,0.2252663622526636
633,2787,filledfemalemale_,1710,0.2271259418729817
663,2957,filledfemalemale_,1810,0.22421373013189044
698,3122,filledfemalemale_,1910,0.22357463164638053
730,3290,filledfemalemale_,2010,0.22188449848024316
773,3447,filledfemalemale_,2110,0.22425297360023208
807,3613,filledfemalemale_,2210,0.22336008856905618
845,3775,filledfemalemale_,2310,0.223841059602649
882,3938,filledfemalemale_,2410,0.22397155916708988
913,4107,filledfemalemale_,2510,0.22230338446554662
955,4265,filledfemalemale_,2610,0.223915592028136
995,4425,filledfemalemale_,2710,0.2248587570621469
1030,4590,filledfemalemale_,2810,0.22440087145969498
1071,4749,filledfemalemale_,2910,0.2255211623499684
1097,4923,filledfemalemale_,3010,0.22283160674385538
1138,5082,filledfemalemale_,3110,0.2239275875639512
1177,5243,filledfemalemale_,3210,0.22448979591836735
1215,5405,filledfemalemale_,3310,0.2247918593894542
1244,5576,filledfemalemale_,3410,0.22309899569583932
1289,5731,filledfemalemale_,3510,0.22491711743151283
1336,5884,filledfemalemale_,3610,0.22705642420122366
1375,6045,filledfemalemale_,3710,0.22746071133167908
1414,6206,filledfemalemale_,3810,0.2278440219142765
1464,6356,filledfemalemale_,3910,0.2303335431088735
1510,6510,filledfemalemale_,4010,0.23195084485407066
1550,6670,filledfemalemale_,4110,0.23238380809595202
1588,6832,filledfemalemale_,4210,0.23243559718969556
1637,6983,filledfemalemale_,4310,0.2344264642703709
1684,7136,filledfemalemale_,4410,0.23598654708520178
1716,7304,filledfemalemale_,4510,0.23493975903614459
1762,7458,filledfemalemale_,4610,0.23625636899973182
1812,7608,filledfemalemale_,4710,0.23817034700315456
1866,7754,filledfemalemale_,4810,0.2406499871034305
1913,7907,filledfemalemale_,4910,0.24193752371316554
