size intersection,size union,state,k,mean JI
5,15,filledfemalemale_,10,0.3333333333333333
64,156,filledfemalemale_,110,0.41025641025641024
111,309,filledfemalemale_,210,0.3592233009708738
175,445,filledfemalemale_,310,0.39325842696629215
232,588,filledfemalemale_,410,0.3945578231292517
283,737,filledfemalemale_,510,0.383989145183175
335,885,filledfemalemale_,610,0.3785310734463277
392,1028,filledfemalemale_,710,0.38132295719844356
462,1158,filledfemalemale_,810,0.39896373056994816
526,1294,filledfemalemale_,910,0.40649149922720246
585,1435,filledfemalemale_,1010,0.4076655052264808
647,1573,filledfemalemale_,1110,0.4113159567705022
718,1702,filledfemalemale_,1210,0.4218566392479436
770,1850,filledfemalemale_,1310,0.41621621621621624
840,1980,filledfemalemale_,1410,0.42424242424242425
906,2114,filledfemalemale_,1510,0.42857142857142855
971,2249,filledfemalemale_,1610,0.43174744330813697
1034,2386,filledfemalemale_,1710,0.4333612740989103
1100,2520,filledfemalemale_,1810,0.4365079365079365
1158,2662,filledfemalemale_,1910,0.43501126972201354
1214,2806,filledfemalemale_,2010,0.43264433357091947
1266,2954,filledfemalemale_,2110,0.42857142857142855
1331,3089,filledfemalemale_,2210,0.4308837811589511
1388,3232,filledfemalemale_,2310,0.42945544554455445
1446,3374,filledfemalemale_,2410,0.42857142857142855
1514,3506,filledfemalemale_,2510,0.4318311466058186
1567,3653,filledfemalemale_,2610,0.42896249657815494
1629,3791,filledfemalemale_,2710,0.4297019256132946
1700,3920,filledfemalemale_,2810,0.4336734693877551
1749,4071,filledfemalemale_,2910,0.42962417096536476
1794,4226,filledfemalemale_,3010,0.4245149077141505
1854,4366,filledfemalemale_,3110,0.4246449839670179
1904,4516,filledfemalemale_,3210,0.4216120460584588
1971,4649,filledfemalemale_,3310,0.4239621423962142
2033,4787,filledfemalemale_,3410,0.42469187382494256
2093,4927,filledfemalemale_,3510,0.42480211081794195
2143,5077,filledfemalemale_,3610,0.42209966515658853
2198,5222,filledfemalemale_,3710,0.42091152815013405
2247,5373,filledfemalemale_,3810,0.41820212171970966
2311,5509,filledfemalemale_,3910,0.41949537121074604
2371,5649,filledfemalemale_,4010,0.4197203044786688
2441,5779,filledfemalemale_,4110,0.4223914172002077
2499,5921,filledfemalemale_,4210,0.4220570849518662
2559,6061,filledfemalemale_,4310,0.4222075565088269
2616,6204,filledfemalemale_,4410,0.42166344294003866
2672,6348,filledfemalemale_,4510,0.4209199747952111
2718,6502,filledfemalemale_,4610,0.41802522300830514
2769,6651,filledfemalemale_,4710,0.41632837167343256
2820,6800,filledfemalemale_,4810,0.4147058823529412
2874,6946,filledfemalemale_,4910,0.4137633170169882
