size intersection,size union,state,k,mean JI
5,15,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.22875816993464052
55,165,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.23985890652557318
110,310,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.24832954344858274
167,453,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.25430434776347866
219,601,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.25230335885245775
264,756,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.246005846005846
320,900,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.25318492633577083
368,1052,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.254927619061591
427,1193,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.2613454448529031
487,1333,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.2670057713393361
544,1476,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.27139129298426873
601,1619,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.2716372395924793
668,1752,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.2773291576125739
717,1903,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.27474906584359693
784,2036,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.28123436753918857
847,2173,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.2832042818450929
906,2314,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.284762833770761
965,2455,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.2886745806310477
1030,2590,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.29267802233177537
1082,2738,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.29178359261993697
1152,2868,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.29389017822079994
1214,3006,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.29602590511262133
1281,3139,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.2972133291916161
1333,3287,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.295043362645649
1390,3430,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.2948072572462083
1450,3570,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.29660870245407406
1516,3704,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.2971705712567067
1583,3837,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.2985725387773978
1641,3979,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.29899856101561895
1688,4132,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.2978781015696736
1750,4270,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.2978769237012504
1820,4400,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.2989046408594997
1881,4539,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.3001351049386474
1941,4679,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.300340201430257
2000,4820,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.3005129533117242
2053,4967,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.2991485112749222
2103,5117,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.2984439628111532
2151,5269,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.2981530198504336
2216,5404,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.29820793621856356
2280,5540,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.2987684199733936
2350,5670,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.30031394987013416
2401,5819,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.2994937608578868
2457,5963,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.2987450239735929
2512,6108,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.29902351686845413
2573,6247,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.29910093844614
2632,6388,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.29874210012843655
2699,6521,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.29880916779456196
2775,6645,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.2999499299966491
2832,6788,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.3002557003851056
2894,6926,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.2994811399162454
