size intersection,size union,state,k,mean JI
2,18,filledlowerupper_,10,0.1111111111111111
32,188,filledlowerupper_,110,0.1702127659574468
57,363,filledlowerupper_,210,0.15702479338842976
82,538,filledlowerupper_,310,0.1524163568773234
112,708,filledlowerupper_,410,0.15819209039548024
133,887,filledlowerupper_,510,0.14994363021420518
170,1050,filledlowerupper_,610,0.1619047619047619
197,1223,filledlowerupper_,710,0.16107931316434995
233,1387,filledlowerupper_,810,0.16798846431146358
271,1549,filledlowerupper_,910,0.17495158166559072
301,1719,filledlowerupper_,1010,0.17510180337405468
336,1884,filledlowerupper_,1110,0.17834394904458598
366,2054,filledlowerupper_,1210,0.17818889970788704
391,2229,filledlowerupper_,1310,0.17541498429789143
419,2401,filledlowerupper_,1410,0.17451062057476052
451,2569,filledlowerupper_,1510,0.17555469054106657
481,2739,filledlowerupper_,1610,0.1756115370573202
511,2909,filledlowerupper_,1710,0.17566173942935717
543,3077,filledlowerupper_,1810,0.17647058823529413
575,3245,filledlowerupper_,1910,0.17719568567026195
601,3419,filledlowerupper_,2010,0.17578239251243052
628,3592,filledlowerupper_,2110,0.17483296213808464
665,3755,filledlowerupper_,2210,0.17709720372836218
696,3924,filledlowerupper_,2310,0.17737003058103976
716,4104,filledlowerupper_,2410,0.17446393762183235
745,4275,filledlowerupper_,2510,0.1742690058479532
784,4436,filledlowerupper_,2610,0.17673579801623085
812,4608,filledlowerupper_,2710,0.1762152777777778
835,4785,filledlowerupper_,2810,0.17450365726227796
864,4956,filledlowerupper_,2910,0.17433414043583534
896,5124,filledlowerupper_,3010,0.17486338797814208
923,5297,filledlowerupper_,3110,0.17424957523126297
953,5467,filledlowerupper_,3210,0.1743186391073715
987,5633,filledlowerupper_,3310,0.17521746848925973
1016,5804,filledlowerupper_,3410,0.17505168849069608
1040,5980,filledlowerupper_,3510,0.17391304347826086
1068,6152,filledlowerupper_,3610,0.17360208062418725
1096,6324,filledlowerupper_,3710,0.1733080328905756
1127,6493,filledlowerupper_,3810,0.17357153858000923
1154,6666,filledlowerupper_,3910,0.17311731173117312
1178,6842,filledlowerupper_,4010,0.17217187956737795
1209,7011,filledlowerupper_,4110,0.17244330338040223
1238,7182,filledlowerupper_,4210,0.17237538290169868
1267,7353,filledlowerupper_,4310,0.17231062151502788
1298,7522,filledlowerupper_,4410,0.17256048923158734
1330,7690,filledlowerupper_,4510,0.1729518855656697
1364,7856,filledlowerupper_,4610,0.17362525458248473
1394,8026,filledlowerupper_,4710,0.17368552205332669
1414,8206,filledlowerupper_,4810,0.17231294174993908
1437,8383,filledlowerupper_,4910,0.1714183466539425
