size intersection,size union,state,k,mean JI
6,14,filledfemalemale_,10,0.42857142857142855
70,150,filledfemalemale_,110,0.4666666666666667
133,287,filledfemalemale_,210,0.4634146341463415
188,432,filledfemalemale_,310,0.4351851851851852
269,551,filledfemalemale_,410,0.4882032667876588
343,677,filledfemalemale_,510,0.5066469719350074
390,830,filledfemalemale_,610,0.46987951807228917
458,962,filledfemalemale_,710,0.4760914760914761
534,1086,filledfemalemale_,810,0.49171270718232046
601,1219,filledfemalemale_,910,0.49302707136997537
653,1367,filledfemalemale_,1010,0.4776883686905633
714,1506,filledfemalemale_,1110,0.47410358565737054
772,1648,filledfemalemale_,1210,0.4684466019417476
837,1783,filledfemalemale_,1310,0.46943353897924844
897,1923,filledfemalemale_,1410,0.4664586583463339
963,2057,filledfemalemale_,1510,0.4681575109382596
1022,2198,filledfemalemale_,1610,0.46496815286624205
1078,2342,filledfemalemale_,1710,0.46029035012809566
1149,2471,filledfemalemale_,1810,0.4649939295831647
1216,2604,filledfemalemale_,1910,0.46697388632872505
1285,2735,filledfemalemale_,2010,0.46983546617915906
1353,2867,filledfemalemale_,2110,0.47192186955005233
1417,3003,filledfemalemale_,2210,0.47186147186147187
1486,3134,filledfemalemale_,2310,0.47415443522654754
1545,3275,filledfemalemale_,2410,0.4717557251908397
1616,3404,filledfemalemale_,2510,0.47473560517038776
1673,3547,filledfemalemale_,2610,0.47166619678601635
1739,3681,filledfemalemale_,2710,0.4724259712034773
1806,3814,filledfemalemale_,2810,0.4735186156266387
1879,3941,filledfemalemale_,2910,0.47678254250190305
1950,4070,filledfemalemale_,3010,0.47911547911547914
2012,4208,filledfemalemale_,3110,0.4781368821292776
2078,4342,filledfemalemale_,3210,0.4785812989405804
2139,4481,filledfemalemale_,3310,0.47734880607007363
2207,4613,filledfemalemale_,3410,0.47843052243659223
2271,4749,filledfemalemale_,3510,0.47820593809222994
2335,4885,filledfemalemale_,3610,0.4779938587512794
2403,5017,filledfemalemale_,3710,0.4789714969105043
2477,5143,filledfemalemale_,3810,0.4816255104024888
2548,5272,filledfemalemale_,3910,0.48330804248861914
2626,5394,filledfemalemale_,4010,0.4868372265480163
2690,5530,filledfemalemale_,4110,0.4864376130198915
2762,5658,filledfemalemale_,4210,0.48815835984446804
2833,5787,filledfemalemale_,4310,0.4895455330914118
2887,5933,filledfemalemale_,4410,0.48660037080734875
2959,6061,filledfemalemale_,4510,0.4882032667876588
3022,6198,filledfemalemale_,4610,0.48757663762504033
3100,6320,filledfemalemale_,4710,0.49050632911392406
3166,6454,filledfemalemale_,4810,0.49054849705608927
3226,6594,filledfemalemale_,4910,0.489232635729451
