size intersection,size union,state,k,mean JI
7,13,filledasianwhite_,10,0.5384615384615384
43,177,filledasianwhite_,110,0.24293785310734464
95,325,filledasianwhite_,210,0.2923076923076923
154,466,filledasianwhite_,310,0.33047210300429186
211,609,filledasianwhite_,410,0.3464696223316913
252,768,filledasianwhite_,510,0.328125
298,922,filledasianwhite_,610,0.3232104121475054
349,1071,filledasianwhite_,710,0.3258636788048553
399,1221,filledasianwhite_,810,0.32678132678132676
453,1367,filledasianwhite_,910,0.33138258961228967
503,1517,filledasianwhite_,1010,0.3315754779169413
552,1668,filledasianwhite_,1110,0.33093525179856115
596,1824,filledasianwhite_,1210,0.3267543859649123
644,1976,filledasianwhite_,1310,0.3259109311740891
698,2122,filledasianwhite_,1410,0.3289349670122526
751,2269,filledasianwhite_,1510,0.3309828118113706
802,2418,filledasianwhite_,1610,0.3316790736145575
860,2560,filledasianwhite_,1710,0.3359375
904,2716,filledasianwhite_,1810,0.3328424153166421
961,2859,filledasianwhite_,1910,0.3361315145155649
1010,3010,filledasianwhite_,2010,0.33554817275747506
1057,3163,filledasianwhite_,2110,0.3341764147960797
1108,3312,filledasianwhite_,2210,0.33454106280193235
1154,3466,filledasianwhite_,2310,0.33294864396999424
1219,3601,filledasianwhite_,2410,0.33851707858928076
1271,3749,filledasianwhite_,2510,0.33902373966391036
1331,3889,filledasianwhite_,2610,0.34224736436101827
1385,4035,filledasianwhite_,2710,0.34324659231722426
1449,4171,filledasianwhite_,2810,0.3473987053464397
1508,4312,filledasianwhite_,2910,0.349721706864564
1550,4470,filledasianwhite_,3010,0.34675615212527966
1603,4617,filledasianwhite_,3110,0.347195148364739
1654,4766,filledasianwhite_,3210,0.34704154427192613
1705,4915,filledasianwhite_,3310,0.34689725330620547
1772,5048,filledasianwhite_,3410,0.3510301109350238
1832,5188,filledasianwhite_,3510,0.35312259059367773
1884,5336,filledasianwhite_,3610,0.3530734632683658
1947,5473,filledasianwhite_,3710,0.3557463913758451
2012,5608,filledasianwhite_,3810,0.3587731811697575
2073,5747,filledasianwhite_,3910,0.3607099356185836
2116,5904,filledasianwhite_,4010,0.3584010840108401
2169,6051,filledasianwhite_,4110,0.35845314823996033
2227,6193,filledasianwhite_,4210,0.3595995478766349
2284,6336,filledasianwhite_,4310,0.36047979797979796
2336,6484,filledasianwhite_,4410,0.36027143738433065
2391,6629,filledasianwhite_,4510,0.3606878865590587
2439,6781,filledasianwhite_,4610,0.35968146291107506
2493,6927,filledasianwhite_,4710,0.3598960588999567
2567,7053,filledasianwhite_,4810,0.3639585991776549
2622,7198,filledasianwhite_,4910,0.3642678521811614
