size intersection,size union,state,k,mean JI
5,15,filledlowerupper_,10,0.3333333333333333
47,173,filledlowerupper_,110,0.27167630057803466
102,318,filledlowerupper_,210,0.32075471698113206
139,481,filledlowerupper_,310,0.288981288981289
192,628,filledlowerupper_,410,0.3057324840764331
241,779,filledlowerupper_,510,0.30937098844672656
299,921,filledlowerupper_,610,0.3246471226927253
350,1070,filledlowerupper_,710,0.32710280373831774
401,1219,filledlowerupper_,810,0.32895816242821985
460,1360,filledlowerupper_,910,0.3382352941176471
518,1502,filledlowerupper_,1010,0.3448735019973369
572,1648,filledlowerupper_,1110,0.3470873786407767
631,1789,filledlowerupper_,1210,0.35271101173840136
689,1931,filledlowerupper_,1310,0.35680994303469704
749,2071,filledlowerupper_,1410,0.36166103331723803
808,2212,filledlowerupper_,1510,0.36528028933092227
864,2356,filledlowerupper_,1610,0.366723259762309
933,2487,filledlowerupper_,1710,0.3751507840772014
987,2633,filledlowerupper_,1810,0.37485757690846944
1041,2779,filledlowerupper_,1910,0.37459517812162646
1097,2923,filledlowerupper_,2010,0.37529934998289427
1154,3066,filledlowerupper_,2110,0.37638617090671883
1207,3213,filledlowerupper_,2210,0.37566137566137564
1265,3355,filledlowerupper_,2310,0.3770491803278688
1317,3503,filledlowerupper_,2410,0.3759634598915216
1375,3645,filledlowerupper_,2510,0.3772290809327846
1431,3789,filledlowerupper_,2610,0.37767220902612825
1479,3941,filledlowerupper_,2710,0.3752854605430094
1538,4082,filledlowerupper_,2810,0.37677609015188634
1592,4228,filledlowerupper_,2910,0.37653736991485337
1650,4370,filledlowerupper_,3010,0.37757437070938216
1706,4514,filledlowerupper_,3110,0.3779353123615419
1763,4657,filledlowerupper_,3210,0.37856989478204855
1824,4796,filledlowerupper_,3310,0.3803169307756464
1867,4953,filledlowerupper_,3410,0.37694326670704625
1920,5100,filledlowerupper_,3510,0.3764705882352941
1975,5245,filledlowerupper_,3610,0.3765490943755958
2029,5391,filledlowerupper_,3710,0.37636802077536635
2080,5540,filledlowerupper_,3810,0.37545126353790614
2143,5677,filledlowerupper_,3910,0.37748810991720977
2191,5829,filledlowerupper_,4010,0.37587922456682105
2247,5973,filledlowerupper_,4110,0.3761928679055751
2297,6123,filledlowerupper_,4210,0.37514290380532417
2338,6282,filledlowerupper_,4310,0.37217446673034066
2400,6420,filledlowerupper_,4410,0.37383177570093457
2453,6567,filledlowerupper_,4510,0.37353433835845895
2494,6726,filledlowerupper_,4610,0.37079988105857864
2542,6878,filledlowerupper_,4710,0.36958418144809535
2593,7027,filledlowerupper_,4810,0.36900526540486694
2637,7183,filledlowerupper_,4910,0.3671168035639705
