size intersection,size union,state,k,mean JI
6,14,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.36507936507936506
57,163,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.32319209748980493
118,302,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.33598576825852405
181,439,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.35121696478058745
261,559,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.3785952713666576
337,683,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.38499886641240105
401,819,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.3855153921379087
465,955,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.38790555769490315
538,1082,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.39460371513801834
597,1223,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.3934858307719999
668,1352,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.3979277081971528
739,1481,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.39908912733151974
805,1615,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.39979171611021597
876,1744,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.4067158667278332
953,1867,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.4101653189678775
1020,2000,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.40759377424036547
1090,2130,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.4094898135657985
1155,2265,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.4062930273632623
1224,2396,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.40802589325767036
1285,2535,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.4070154328528037
1356,2664,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.40983952229426196
1423,2797,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.4129944851350591
1495,2925,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.415458367622362
1574,3046,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.4218581946110645
1642,3178,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.4208075865492485
1713,3307,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.41930186943377273
1782,3438,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.4176077527867988
1857,3563,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.4165687960359256
1923,3697,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.41470182888255286
1997,3823,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.4172190511903107
2057,3963,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.41748141968822283
2127,4093,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.4194363845053927
2200,4220,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.4206749288460905
2275,4345,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.41981818939995835
2350,4470,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.41983656039102996
2417,4603,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.4208426585607224
2490,4730,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.4220006585203288
2560,4860,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.4222041513207846
2629,4991,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.42409688559633346
2696,5124,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.4255347537581104
2765,5255,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.4274191653003956
2838,5382,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.4289218663669674
2911,5509,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.4297380142216219
2989,5631,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.4315539082183513
3061,5759,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.4316121922161898
3129,5891,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.4310190065155388
3184,6036,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.43005261647285503
3240,6180,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.42800406823874043
3304,6316,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.42767871206343333
3368,6452,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.42845741857103614
