size intersection,size union,state,k,mean JI
3,17,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.13519091847265222
8,212,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.05323620323765036
19,401,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.04919718904558785
29,591,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.0527677825198962
44,776,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.059134167917762
63,957,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.05940382306921943
75,1145,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.0626726994977914
96,1324,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.06503922211128756
118,1502,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.06804913687810266
139,1681,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.07181167336580034
168,1852,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.0751177115133115
198,2022,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.07872606528926206
227,2193,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.0829086724492928
266,2354,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.0875884468193406
302,2518,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.09249634942481066
346,2674,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.09856120107747447
372,2848,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.10118293212475916
410,3010,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.10471377118986802
465,3155,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.11074270669470292
518,3302,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.11647168477237053
567,3453,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.12107037647566714
620,3600,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.12621988975715467
678,3742,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.13149103978395746
735,3885,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.13761669058245193
796,4024,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.142846009774429
861,4159,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.1480374006171649
920,4300,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.15406989080206426
979,4441,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.15769832983923818
1040,4580,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.16296185677053887
1107,4713,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.16753602680835192
1178,4842,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.17403666968014297
1236,4984,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.17950740115376443
1318,5102,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.18458065726951198
1386,5234,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.18986763257784908
1460,5360,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.19643450535753212
1544,5476,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.2045907479471638
1624,5596,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.21031605479292223
1709,5711,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.2168487958691442
1802,5818,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.22304498185628596
1893,5927,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.23059821319305196
1989,6031,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.2383029862557667
2093,6127,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.2454329415210008
2208,6212,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.2543015848446271
2316,6304,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.2620190212517923
2421,6399,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.2702042899915032
2546,6474,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.27941920261224434
2656,6564,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.28776237249309616
2773,6647,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.29630267989492287
2885,6735,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.303100380085965
3004,6816,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.31226116308708796
