size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.1328976034858388
9,211,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.054579809807019174
20,400,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.06410006497725795
30,590,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.06850069654460123
51,769,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.0823954585169633
70,950,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.09006597451105626
87,1133,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.09434010118244389
107,1313,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.0957425197836002
130,1490,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.09964477151716815
162,1658,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.11107992111047711
190,1830,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.12114914576930075
224,1996,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.1272714896526587
254,2166,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.1310207298503334
289,2331,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.13650487271031472
328,2492,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.14367436722552038
362,2658,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.1495544406111874
414,2806,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.16060210327371174
448,2972,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.16565541034314446
495,3125,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.17244840596956146
552,3268,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.18004481902245106
594,3426,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.18818253350139194
640,3580,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.19367229153680474
688,3732,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.2018349120208011
739,3881,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.208354342965121
791,4029,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.21702107164880938
842,4178,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.22608395381416457
903,4317,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.2343296260409509
960,4460,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.24171098465281662
1029,4591,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.248977586549517
1097,4723,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.25841855152189486
1150,4870,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.26613568704097684
1221,4999,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.27489642341807946
1291,5129,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.28414646473130206
1379,5241,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.2976465364083974
1455,5365,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.3098903706203545
1536,5484,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.3212232027005258
1634,5586,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.33232532434504175
1725,5695,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.34455941688625646
1807,5813,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.35622098265080787
1901,5919,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.367964313738097
1987,6033,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.3800559257038573
2075,6145,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.39305894830144644
2180,6240,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.4082196718677004
2284,6336,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.4242917006074431
2390,6430,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.43994644205308714
2499,6521,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.45453728908182933
2620,6600,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.4711055354686435
2722,6698,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.48683926236240427
2839,6781,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.503745623921504
2966,6854,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.522829246528193
