size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
3,217,filledlowerupper_,110,0.013824884792626729
12,408,filledlowerupper_,210,0.029411764705882353
21,599,filledlowerupper_,310,0.035058430717863104
44,776,filledlowerupper_,410,0.05670103092783505
67,953,filledlowerupper_,510,0.07030430220356768
88,1132,filledlowerupper_,610,0.07773851590106007
117,1303,filledlowerupper_,710,0.08979278587874137
149,1471,filledlowerupper_,810,0.10129163834126445
179,1641,filledlowerupper_,910,0.10907982937233394
212,1808,filledlowerupper_,1010,0.1172566371681416
244,1976,filledlowerupper_,1110,0.12348178137651822
273,2147,filledlowerupper_,1210,0.12715416860735912
315,2305,filledlowerupper_,1310,0.13665943600867678
351,2469,filledlowerupper_,1410,0.1421628189550425
395,2625,filledlowerupper_,1510,0.15047619047619049
432,2788,filledlowerupper_,1610,0.15494978479196556
464,2956,filledlowerupper_,1710,0.15696887686062247
508,3112,filledlowerupper_,1810,0.16323907455012854
550,3270,filledlowerupper_,1910,0.16819571865443425
585,3435,filledlowerupper_,2010,0.1703056768558952
626,3594,filledlowerupper_,2110,0.17417918753478018
673,3747,filledlowerupper_,2210,0.17961035495062716
721,3899,filledlowerupper_,2310,0.18491921005385997
767,4053,filledlowerupper_,2410,0.18924253639279545
819,4201,filledlowerupper_,2510,0.19495358248036182
866,4354,filledlowerupper_,2610,0.19889756545705098
924,4496,filledlowerupper_,2710,0.20551601423487545
977,4643,filledlowerupper_,2810,0.2104242946370881
1031,4789,filledlowerupper_,2910,0.21528502818960116
1091,4929,filledlowerupper_,3010,0.22134307161696085
1145,5075,filledlowerupper_,3110,0.22561576354679802
1204,5216,filledlowerupper_,3210,0.2308282208588957
1256,5364,filledlowerupper_,3310,0.23415361670395227
1331,5489,filledlowerupper_,3410,0.24248496993987975
1405,5615,filledlowerupper_,3510,0.25022261798753337
1472,5748,filledlowerupper_,3610,0.25608907446068196
1556,5864,filledlowerupper_,3710,0.2653478854024557
1631,5989,filledlowerupper_,3810,0.2723326097846051
1707,6113,filledlowerupper_,3910,0.2792409618845084
1799,6221,filledlowerupper_,4010,0.2891818035685581
1890,6330,filledlowerupper_,4110,0.2985781990521327
1988,6432,filledlowerupper_,4210,0.30907960199004975
2095,6525,filledlowerupper_,4310,0.3210727969348659
2192,6628,filledlowerupper_,4410,0.33071816535908266
2299,6721,filledlowerupper_,4510,0.34206219312602293
2403,6817,filledlowerupper_,4610,0.35250110019069975
2513,6907,filledlowerupper_,4710,0.3638337918054148
2630,6990,filledlowerupper_,4810,0.37625178826895567
2747,7073,filledlowerupper_,4910,0.3883783401668316
