size intersection,size union,state,k,mean JI
0,20,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.017543859649122806
0,220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.0015220700152207
0,420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.0007955449482895784
0,620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.0005385029617662897
0,820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.000407000407000407
0,1020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.0003271180896303565
0,1220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.00027344818156959256
0,1420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.0004701457451810061
0,1620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.0008250825082508251
0,1820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.0009182736455463728
0,2020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.0009930486593843098
0,2220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.0012055455093429777
0,2420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.0016611295681063121
0,2620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.0017907393195190585
0,2820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.002981514609421586
0,3020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.003682624707063944
0,3220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.004830917874396135
0,3420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.005750545310331152
0,3620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.006764374295377677
0,3820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.007403443047007403
0,4020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.008852570650323459
0,4220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.010175010175010175
0,4420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.010903426791277258
0,4620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.01195814648729447
0,4820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.013155057149018762
0,5020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.014263952361168813
0,5220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.015923993041616485
0,5420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.016931627245702466
0,5620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.018466353677621283
0,5820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.019779153015410753
0,6020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.0213267350064805
0,6220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.02309323247951407
0,6420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.02410778909860253
0,6620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.025824652777777776
0,6820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.027227068464181867
0,7020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.028671617161716168
0,7220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.030266404794279098
0,7420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.03151890642670994
0,7620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.03318903318903319
0,7820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.03510011778563015
0,8020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.03647346336514963
0,8220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.03814172089660159
0,8420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.03999290591469363
0,8620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.041775456919060046
0,8820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.04301075268817204
0,9020,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.0445310209040258
0,9220,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.04655953852492789
0,9420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.04861533471191664
0,9620,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.05000996214385336
0,9820,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.0518553385110222
