size intersection,size union,state,k,mean JI
4,16,filledlowerupper_,10,0.25
64,156,filledlowerupper_,110,0.41025641025641024
133,287,filledlowerupper_,210,0.4634146341463415
201,419,filledlowerupper_,310,0.4797136038186158
265,555,filledlowerupper_,410,0.4774774774774775
322,698,filledlowerupper_,510,0.46131805157593125
381,839,filledlowerupper_,610,0.4541120381406436
429,991,filledlowerupper_,710,0.4328960645812311
474,1146,filledlowerupper_,810,0.41361256544502617
510,1310,filledlowerupper_,910,0.3893129770992366
550,1470,filledlowerupper_,1010,0.3741496598639456
589,1631,filledlowerupper_,1110,0.36112814224402207
626,1794,filledlowerupper_,1210,0.34894091415830547
661,1959,filledlowerupper_,1310,0.3374170495150587
696,2124,filledlowerupper_,1410,0.327683615819209
735,2285,filledlowerupper_,1510,0.32166301969365424
776,2444,filledlowerupper_,1610,0.31751227495908346
821,2599,filledlowerupper_,1710,0.3158907272027703
870,2750,filledlowerupper_,1810,0.31636363636363635
915,2905,filledlowerupper_,1910,0.31497418244406195
958,3062,filledlowerupper_,2010,0.31286740692357934
995,3225,filledlowerupper_,2110,0.3085271317829457
1037,3383,filledlowerupper_,2210,0.3065326633165829
1081,3539,filledlowerupper_,2310,0.30545351794292175
1132,3688,filledlowerupper_,2410,0.306941431670282
1174,3846,filledlowerupper_,2510,0.30525221008840353
1214,4006,filledlowerupper_,2610,0.30304543185222166
1269,4151,filledlowerupper_,2710,0.30570946759816914
1309,4311,filledlowerupper_,2810,0.3036418464393412
1361,4459,filledlowerupper_,2910,0.3052253868580399
1417,4603,filledlowerupper_,3010,0.30784271127525525
1462,4758,filledlowerupper_,3110,0.3072719630096679
1516,4904,filledlowerupper_,3210,0.3091353996737357
1568,5052,filledlowerupper_,3310,0.3103721298495645
1631,5189,filledlowerupper_,3410,0.314318751204471
1687,5333,filledlowerupper_,3510,0.31633227076692294
1756,5464,filledlowerupper_,3610,0.3213762811127379
1812,5608,filledlowerupper_,3710,0.3231098430813124
1883,5737,filledlowerupper_,3810,0.32822032421126024
1961,5859,filledlowerupper_,3910,0.3346987540535928
2022,5998,filledlowerupper_,4010,0.3371123707902634
2098,6122,filledlowerupper_,4110,0.3426984645540673
2180,6240,filledlowerupper_,4210,0.34935897435897434
2257,6363,filledlowerupper_,4310,0.3547068992613547
2335,6485,filledlowerupper_,4410,0.3600616808018504
2420,6600,filledlowerupper_,4510,0.36666666666666664
2510,6710,filledlowerupper_,4610,0.3740685543964232
2608,6812,filledlowerupper_,4710,0.3828537874339401
2699,6921,filledlowerupper_,4810,0.3899725473197515
2799,7021,filledlowerupper_,4910,0.3986611593790058
