size intersection,size union,state,k,mean JI
3,17,filledfemalemale_,10,0.17647058823529413
30,190,filledfemalemale_,110,0.15789473684210525
55,365,filledfemalemale_,210,0.1506849315068493
96,524,filledfemalemale_,310,0.183206106870229
149,671,filledfemalemale_,410,0.22205663189269748
206,814,filledfemalemale_,510,0.25307125307125306
275,945,filledfemalemale_,610,0.291005291005291
340,1080,filledfemalemale_,710,0.3148148148148148
400,1220,filledfemalemale_,810,0.32786885245901637
465,1355,filledfemalemale_,910,0.34317343173431736
533,1487,filledfemalemale_,1010,0.35843981170141226
612,1608,filledfemalemale_,1110,0.3805970149253731
678,1742,filledfemalemale_,1210,0.38920780711825487
742,1878,filledfemalemale_,1310,0.3951011714589989
809,2011,filledfemalemale_,1410,0.4022874191944306
876,2144,filledfemalemale_,1510,0.4085820895522388
938,2282,filledfemalemale_,1610,0.4110429447852761
1010,2410,filledfemalemale_,1710,0.4190871369294606
1081,2539,filledfemalemale_,1810,0.4257581725088618
1140,2680,filledfemalemale_,1910,0.4253731343283582
1206,2814,filledfemalemale_,2010,0.42857142857142855
1279,2941,filledfemalemale_,2110,0.43488609316558996
1336,3084,filledfemalemale_,2210,0.43320363164721143
1402,3218,filledfemalemale_,2310,0.43567433188315724
1475,3345,filledfemalemale_,2410,0.44095665171898357
1542,3478,filledfemalemale_,2510,0.44335825186889016
1604,3616,filledfemalemale_,2610,0.4435840707964602
1664,3756,filledfemalemale_,2710,0.443024494142705
1726,3894,filledfemalemale_,2810,0.44324601951720594
1785,4035,filledfemalemale_,2910,0.4423791821561338
1854,4166,filledfemalemale_,3010,0.44503120499279886
1907,4313,filledfemalemale_,3110,0.44215163459309065
1967,4453,filledfemalemale_,3210,0.4417246799910173
2017,4603,filledfemalemale_,3310,0.43819248316315446
2085,4735,filledfemalemale_,3410,0.440337909186906
2145,4875,filledfemalemale_,3510,0.44
2219,5001,filledfemalemale_,3610,0.4437112577484503
2276,5144,filledfemalemale_,3710,0.44245723172628304
2330,5290,filledfemalemale_,3810,0.44045368620037806
2393,5427,filledfemalemale_,3910,0.44094343099318223
2451,5569,filledfemalemale_,4010,0.44011492188902857
2512,5708,filledfemalemale_,4110,0.4400840925017519
2573,5847,filledfemalemale_,4210,0.4400547289208141
2635,5985,filledfemalemale_,4310,0.4402673350041771
2689,6131,filledfemalemale_,4410,0.4385907682270429
2753,6267,filledfemalemale_,4510,0.4392851444072124
2811,6409,filledfemalemale_,4610,0.43860196598533313
2880,6540,filledfemalemale_,4710,0.44036697247706424
2941,6679,filledfemalemale_,4810,0.4403353795478365
3003,6817,filledfemalemale_,4910,0.4405163561684025
