size intersection,size union,state,k,mean JI
2,18,filledblack or african americanwhite_,10,0.1111111111111111
63,157,filledblack or african americanwhite_,110,0.4012738853503185
124,296,filledblack or african americanwhite_,210,0.4189189189189189
190,430,filledblack or african americanwhite_,310,0.4418604651162791
250,570,filledblack or african americanwhite_,410,0.43859649122807015
317,703,filledblack or african americanwhite_,510,0.45092460881934565
382,838,filledblack or african americanwhite_,610,0.45584725536992843
440,980,filledblack or african americanwhite_,710,0.4489795918367347
505,1115,filledblack or african americanwhite_,810,0.452914798206278
571,1249,filledblack or african americanwhite_,910,0.45716573258606885
636,1384,filledblack or african americanwhite_,1010,0.4595375722543353
692,1528,filledblack or african americanwhite_,1110,0.45287958115183247
767,1653,filledblack or african americanwhite_,1210,0.46400483968542044
821,1799,filledblack or african americanwhite_,1310,0.4563646470261256
861,1959,filledblack or african americanwhite_,1410,0.43950995405819293
928,2092,filledblack or african americanwhite_,1510,0.4435946462715105
986,2234,filledblack or african americanwhite_,1610,0.44136078782453
1041,2379,filledblack or african americanwhite_,1710,0.43757881462799497
1100,2520,filledblack or african americanwhite_,1810,0.4365079365079365
1159,2661,filledblack or african americanwhite_,1910,0.4355505449079293
1208,2812,filledblack or african americanwhite_,2010,0.4295874822190612
1269,2951,filledblack or african americanwhite_,2110,0.43002372077261947
1320,3100,filledblack or african americanwhite_,2210,0.4258064516129032
1383,3237,filledblack or african americanwhite_,2310,0.4272474513438369
1445,3375,filledblack or african americanwhite_,2410,0.42814814814814817
1498,3522,filledblack or african americanwhite_,2510,0.4253265190232822
1556,3664,filledblack or african americanwhite_,2610,0.42467248908296945
1604,3816,filledblack or african americanwhite_,2710,0.42033542976939203
1655,3965,filledblack or african americanwhite_,2810,0.41740226986128626
1714,4106,filledblack or african americanwhite_,2910,0.41743789576229906
1773,4247,filledblack or african americanwhite_,3010,0.4174711561101954
1817,4403,filledblack or african americanwhite_,3110,0.41267317737905973
1875,4545,filledblack or african americanwhite_,3210,0.41254125412541254
1929,4691,filledblack or african americanwhite_,3310,0.41121296098912813
1989,4831,filledblack or african americanwhite_,3410,0.41171600082798593
2039,4981,filledblack or african americanwhite_,3510,0.4093555510941578
2093,5127,filledblack or african americanwhite_,3610,0.40823093426955337
2142,5278,filledblack or african americanwhite_,3710,0.40583554376657827
2189,5431,filledblack or african americanwhite_,3810,0.40305652734303077
2238,5582,filledblack or african americanwhite_,3910,0.4009315657470441
2293,5727,filledblack or african americanwhite_,4010,0.4003841452767592
2344,5876,filledblack or african americanwhite_,4110,0.39891082368958475
2402,6018,filledblack or african americanwhite_,4210,0.39913592555666333
2455,6165,filledblack or african americanwhite_,4310,0.3982157339821573
2502,6318,filledblack or african americanwhite_,4410,0.396011396011396
2558,6462,filledblack or african americanwhite_,4510,0.39585267718972456
2607,6613,filledblack or african americanwhite_,4610,0.39422349916830485
2670,6750,filledblack or african americanwhite_,4710,0.39555555555555555
2721,6899,filledblack or african americanwhite_,4810,0.3944049862298884
2788,7032,filledblack or african americanwhite_,4910,0.39647326507394764
