size intersection,size union,state,k,mean JI
6,14,filledlowerupper_,10,0.42857142857142855
50,170,filledlowerupper_,110,0.29411764705882354
113,307,filledlowerupper_,210,0.36807817589576547
165,455,filledlowerupper_,310,0.3626373626373626
230,590,filledlowerupper_,410,0.3898305084745763
294,726,filledlowerupper_,510,0.4049586776859504
345,875,filledlowerupper_,610,0.3942857142857143
384,1036,filledlowerupper_,710,0.37065637065637064
448,1172,filledlowerupper_,810,0.3822525597269625
504,1316,filledlowerupper_,910,0.3829787234042553
578,1442,filledlowerupper_,1010,0.40083217753120665
646,1574,filledlowerupper_,1110,0.4104193138500635
709,1711,filledlowerupper_,1210,0.41437755698421974
765,1855,filledlowerupper_,1310,0.4123989218328841
833,1987,filledlowerupper_,1410,0.4192249622546553
903,2117,filledlowerupper_,1510,0.42654700047236654
968,2252,filledlowerupper_,1610,0.42984014209591476
1026,2394,filledlowerupper_,1710,0.42857142857142855
1091,2529,filledlowerupper_,1810,0.4313958086200079
1147,2673,filledlowerupper_,1910,0.429105873550318
1203,2817,filledlowerupper_,2010,0.42705005324813633
1263,2957,filledlowerupper_,2110,0.42712208319242473
1328,3092,filledlowerupper_,2210,0.4294954721862872
1389,3231,filledlowerupper_,2310,0.4298978644382544
1452,3368,filledlowerupper_,2410,0.4311163895486936
1510,3510,filledlowerupper_,2510,0.4301994301994302
1567,3653,filledlowerupper_,2610,0.42896249657815494
1630,3790,filledlowerupper_,2710,0.43007915567282323
1684,3936,filledlowerupper_,2810,0.42784552845528456
1756,4064,filledlowerupper_,2910,0.43208661417322836
1822,4198,filledlowerupper_,3010,0.4340161981896141
1891,4329,filledlowerupper_,3110,0.4368214368214368
1958,4462,filledlowerupper_,3210,0.43881667413715825
2009,4611,filledlowerupper_,3310,0.43569724571676427
2074,4746,filledlowerupper_,3410,0.43699957859249894
2132,4888,filledlowerupper_,3510,0.43617021276595747
2177,5043,filledlowerupper_,3610,0.4316874876065834
2245,5175,filledlowerupper_,3710,0.43381642512077295
2310,5310,filledlowerupper_,3810,0.4350282485875706
2370,5450,filledlowerupper_,3910,0.43486238532110094
2416,5604,filledlowerupper_,4010,0.43112062812276947
2483,5737,filledlowerupper_,4110,0.4328046017082099
2549,5871,filledlowerupper_,4210,0.4341679441321751
2607,6013,filledlowerupper_,4310,0.4335606186595709
2664,6156,filledlowerupper_,4410,0.4327485380116959
2737,6283,filledlowerupper_,4510,0.4356199267865669
2802,6418,filledlowerupper_,4610,0.4365846057961982
2855,6565,filledlowerupper_,4710,0.43488194973343486
2914,6706,filledlowerupper_,4810,0.4345362362063823
2969,6851,filledlowerupper_,4910,0.43336739162166105
