size intersection,size union,state,k,mean JI
2,18,filledlowerupper_,10,0.1111111111111111
28,192,filledlowerupper_,110,0.14583333333333334
49,371,filledlowerupper_,210,0.1320754716981132
84,536,filledlowerupper_,310,0.15671641791044777
104,716,filledlowerupper_,410,0.1452513966480447
143,877,filledlowerupper_,510,0.1630558722919042
168,1052,filledlowerupper_,610,0.1596958174904943
197,1223,filledlowerupper_,710,0.16107931316434995
227,1393,filledlowerupper_,810,0.16295764536970567
255,1565,filledlowerupper_,910,0.16293929712460065
282,1738,filledlowerupper_,1010,0.1622554660529344
306,1914,filledlowerupper_,1110,0.15987460815047022
341,2079,filledlowerupper_,1210,0.164021164021164
370,2250,filledlowerupper_,1310,0.16444444444444445
403,2417,filledlowerupper_,1410,0.16673562267273478
425,2595,filledlowerupper_,1510,0.16377649325626203
466,2754,filledlowerupper_,1610,0.1692084241103849
497,2923,filledlowerupper_,1710,0.17003079028395485
524,3096,filledlowerupper_,1810,0.16925064599483206
548,3272,filledlowerupper_,1910,0.16748166259168704
582,3438,filledlowerupper_,2010,0.16928446771378708
623,3597,filledlowerupper_,2110,0.17319988879621906
654,3766,filledlowerupper_,2210,0.17365905469994689
690,3930,filledlowerupper_,2310,0.17557251908396945
723,4097,filledlowerupper_,2410,0.17647058823529413
760,4260,filledlowerupper_,2510,0.1784037558685446
799,4421,filledlowerupper_,2610,0.18072834200407148
835,4585,filledlowerupper_,2710,0.1821155943293348
871,4749,filledlowerupper_,2810,0.1834070330595915
909,4911,filledlowerupper_,2910,0.18509468540012217
937,5083,filledlowerupper_,3010,0.18433995671847334
972,5248,filledlowerupper_,3110,0.18521341463414634
1012,5408,filledlowerupper_,3210,0.1871301775147929
1053,5567,filledlowerupper_,3310,0.18915035027842644
1093,5727,filledlowerupper_,3410,0.19085035795355335
1130,5890,filledlowerupper_,3510,0.19185059422750425
1165,6055,filledlowerupper_,3610,0.19240297274979357
1205,6215,filledlowerupper_,3710,0.19388576025744167
1247,6373,filledlowerupper_,3810,0.1956692295622156
1297,6523,filledlowerupper_,3910,0.1988348919208953
1345,6675,filledlowerupper_,4010,0.20149812734082398
1394,6826,filledlowerupper_,4110,0.20421916202754176
1433,6987,filledlowerupper_,4210,0.2050951767568341
1469,7151,filledlowerupper_,4310,0.20542581457138862
1509,7311,filledlowerupper_,4410,0.2064013130898646
1547,7473,filledlowerupper_,4510,0.2070119095410143
1585,7635,filledlowerupper_,4610,0.20759659462999344
1621,7799,filledlowerupper_,4710,0.20784715989229388
1662,7958,filledlowerupper_,4810,0.20884644383010806
1711,8109,filledlowerupper_,4910,0.21100012331976817
