size intersection,size union,state,k,mean JI
5,15,filledfemalemale_,10,0.3333333333333333
53,167,filledfemalemale_,110,0.31736526946107785
90,330,filledfemalemale_,210,0.2727272727272727
142,478,filledfemalemale_,310,0.29707112970711297
183,637,filledfemalemale_,410,0.28728414442700156
221,799,filledfemalemale_,510,0.2765957446808511
271,949,filledfemalemale_,610,0.285563751317176
304,1116,filledfemalemale_,710,0.2724014336917563
348,1272,filledfemalemale_,810,0.27358490566037735
393,1427,filledfemalemale_,910,0.2754029432375613
424,1596,filledfemalemale_,1010,0.2656641604010025
462,1758,filledfemalemale_,1110,0.2627986348122867
504,1916,filledfemalemale_,1210,0.2630480167014614
543,2077,filledfemalemale_,1310,0.2614347616754935
589,2231,filledfemalemale_,1410,0.264007171671896
632,2388,filledfemalemale_,1510,0.2646566164154104
692,2528,filledfemalemale_,1610,0.2737341772151899
738,2682,filledfemalemale_,1710,0.2751677852348993
786,2834,filledfemalemale_,1810,0.2773465067043049
824,2996,filledfemalemale_,1910,0.2750333778371162
869,3151,filledfemalemale_,2010,0.2757854649317677
904,3316,filledfemalemale_,2110,0.27261761158021713
955,3465,filledfemalemale_,2210,0.2756132756132756
1001,3619,filledfemalemale_,2310,0.2765957446808511
1042,3778,filledfemalemale_,2410,0.27580730545262044
1088,3932,filledfemalemale_,2510,0.2767039674465921
1127,4093,filledfemalemale_,2610,0.2753481553872465
1166,4254,filledfemalemale_,2710,0.2740949694405266
1212,4408,filledfemalemale_,2810,0.2749546279491833
1245,4575,filledfemalemale_,2910,0.2721311475409836
1278,4742,filledfemalemale_,3010,0.26950653732602275
1322,4898,filledfemalemale_,3110,0.2699060841159657
1364,5056,filledfemalemale_,3210,0.2697784810126582
1410,5210,filledfemalemale_,3310,0.2706333973128599
1457,5363,filledfemalemale_,3410,0.27167630057803466
1519,5501,filledfemalemale_,3510,0.2761316124341029
1559,5661,filledfemalemale_,3610,0.27539304009892246
1598,5822,filledfemalemale_,3710,0.27447612504294056
1632,5988,filledfemalemale_,3810,0.2725450901803607
1673,6147,filledfemalemale_,3910,0.2721652838783146
1724,6296,filledfemalemale_,4010,0.2738246505717916
1765,6455,filledfemalemale_,4110,0.273431448489543
1821,6599,filledfemalemale_,4210,0.27595090165176545
1864,6756,filledfemalemale_,4310,0.275902901124926
1902,6918,filledfemalemale_,4410,0.27493495229835213
1940,7080,filledfemalemale_,4510,0.2740112994350282
1982,7238,filledfemalemale_,4610,0.27383255042829513
2022,7398,filledfemalemale_,4710,0.2733171127331711
2069,7551,filledfemalemale_,4810,0.27400344325254933
2120,7700,filledfemalemale_,4910,0.2753246753246753
