size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
56,164,filledfemalemale_,110,0.34146341463414637
120,300,filledfemalemale_,210,0.4
183,437,filledfemalemale_,310,0.41876430205949655
256,564,filledfemalemale_,410,0.45390070921985815
316,704,filledfemalemale_,510,0.44886363636363635
401,819,filledfemalemale_,610,0.4896214896214896
465,955,filledfemalemale_,710,0.4869109947643979
529,1091,filledfemalemale_,810,0.4848762603116407
602,1218,filledfemalemale_,910,0.4942528735632184
667,1353,filledfemalemale_,1010,0.49297856614929786
722,1498,filledfemalemale_,1110,0.4819759679572764
780,1640,filledfemalemale_,1210,0.47560975609756095
850,1770,filledfemalemale_,1310,0.480225988700565
909,1911,filledfemalemale_,1410,0.47566718995290425
967,2053,filledfemalemale_,1510,0.4710180224062348
1026,2194,filledfemalemale_,1610,0.4676390154968095
1076,2344,filledfemalemale_,1710,0.4590443686006826
1129,2491,filledfemalemale_,1810,0.4532316338819751
1194,2626,filledfemalemale_,1910,0.4546839299314547
1258,2762,filledfemalemale_,2010,0.4554670528602462
1312,2908,filledfemalemale_,2110,0.4511691884456671
1365,3055,filledfemalemale_,2210,0.44680851063829785
1416,3204,filledfemalemale_,2310,0.4419475655430712
1477,3343,filledfemalemale_,2410,0.4418187256954831
1516,3504,filledfemalemale_,2510,0.432648401826484
1572,3648,filledfemalemale_,2610,0.4309210526315789
1637,3783,filledfemalemale_,2710,0.43272535025112346
1696,3924,filledfemalemale_,2810,0.4322120285423038
1759,4061,filledfemalemale_,2910,0.4331445456784043
1816,4204,filledfemalemale_,3010,0.4319695528068506
1864,4356,filledfemalemale_,3110,0.4279155188246097
1917,4503,filledfemalemale_,3210,0.42571618920719523
1967,4653,filledfemalemale_,3310,0.4227380184826993
2031,4789,filledfemalemale_,3410,0.42409688870327833
2102,4918,filledfemalemale_,3510,0.4274095160634404
2163,5057,filledfemalemale_,3610,0.42772394700415267
2215,5205,filledfemalemale_,3710,0.425552353506244
2277,5343,filledfemalemale_,3810,0.4261650758001123
2330,5490,filledfemalemale_,3910,0.424408014571949
2367,5653,filledfemalemale_,4010,0.41871572616309927
2421,5799,filledfemalemale_,4110,0.4174857734092085
2480,5940,filledfemalemale_,4210,0.4175084175084175
2541,6079,filledfemalemale_,4310,0.41799638098371444
2598,6222,filledfemalemale_,4410,0.4175506268081003
2656,6364,filledfemalemale_,4510,0.41734758013827783
2707,6513,filledfemalemale_,4610,0.415630277905727
2762,6658,filledfemalemale_,4710,0.4148392910784019
2811,6809,filledfemalemale_,4810,0.4128359524159201
2859,6961,filledfemalemale_,4910,0.4107168510271513
