size intersection,size union,state,k,mean JI
1,19,filledblack or african americanwhite_,10,0.05263157894736842
41,179,filledblack or african americanwhite_,110,0.22905027932960895
75,345,filledblack or african americanwhite_,210,0.21739130434782608
117,503,filledblack or african americanwhite_,310,0.23260437375745527
148,672,filledblack or african americanwhite_,410,0.22023809523809523
183,837,filledblack or african americanwhite_,510,0.21863799283154123
215,1005,filledblack or african americanwhite_,610,0.21393034825870647
244,1176,filledblack or african americanwhite_,710,0.20748299319727892
271,1349,filledblack or african americanwhite_,810,0.20088954781319496
305,1515,filledblack or african americanwhite_,910,0.20132013201320131
347,1673,filledblack or african americanwhite_,1010,0.20741183502689778
387,1833,filledblack or african americanwhite_,1110,0.21112929623567922
411,2009,filledblack or african americanwhite_,1210,0.20457939273270284
431,2189,filledblack or african americanwhite_,1310,0.19689355870260392
449,2371,filledblack or african americanwhite_,1410,0.18937157317587516
473,2547,filledblack or african americanwhite_,1510,0.18570867687475462
503,2717,filledblack or african americanwhite_,1610,0.18513065881486934
527,2893,filledblack or african americanwhite_,1710,0.18216384376080194
552,3068,filledblack or african americanwhite_,1810,0.17992177314211213
575,3245,filledblack or african americanwhite_,1910,0.17719568567026195
603,3417,filledblack or african americanwhite_,2010,0.17647058823529413
629,3591,filledblack or african americanwhite_,2110,0.17516012252854357
656,3764,filledblack or african americanwhite_,2210,0.1742826780021254
676,3944,filledblack or african americanwhite_,2310,0.17139959432048682
698,4122,filledblack or african americanwhite_,2410,0.1693352741387676
726,4294,filledblack or african americanwhite_,2510,0.16907312529110385
758,4462,filledblack or african americanwhite_,2610,0.1698789780367548
793,4627,filledblack or african americanwhite_,2710,0.17138534687702614
825,4795,filledblack or african americanwhite_,2810,0.17205422314911367
855,4965,filledblack or african americanwhite_,2910,0.17220543806646527
887,5133,filledblack or african americanwhite_,3010,0.17280342879407753
920,5300,filledblack or african americanwhite_,3110,0.17358490566037735
954,5466,filledblack or african americanwhite_,3210,0.17453347969264543
993,5627,filledblack or african americanwhite_,3310,0.17647058823529413
1020,5800,filledblack or african americanwhite_,3410,0.17586206896551723
1050,5970,filledblack or african americanwhite_,3510,0.17587939698492464
1093,6127,filledblack or african americanwhite_,3610,0.17839072955769544
1128,6292,filledblack or african americanwhite_,3710,0.1792752701843611
1156,6464,filledblack or african americanwhite_,3810,0.17883663366336633
1184,6636,filledblack or african americanwhite_,3910,0.1784207353827607
1224,6796,filledblack or african americanwhite_,4010,0.18010594467333726
1252,6968,filledblack or african americanwhite_,4110,0.1796785304247991
1288,7132,filledblack or african americanwhite_,4210,0.18059450364554122
1320,7300,filledblack or african americanwhite_,4310,0.18082191780821918
1349,7471,filledblack or african americanwhite_,4410,0.18056485075625753
1385,7635,filledblack or african americanwhite_,4510,0.18140144073346431
1426,7794,filledblack or african americanwhite_,4610,0.1829612522453169
1461,7959,filledblack or african americanwhite_,4710,0.18356577459479834
1494,8126,filledblack or african americanwhite_,4810,0.18385429485601773
1532,8288,filledblack or african americanwhite_,4910,0.18484555984555984
