size intersection,size union,state,k,mean JI
7,13,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.25356125356125353
59,161,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.18721408963791508
118,302,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.2210023720286638
179,441,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.24930929996610654
236,584,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.24420607056419966
301,719,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.26365788486427094
374,846,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.2772049684728349
430,990,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.2809334031299233
496,1124,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.29273473857103754
564,1256,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.2981785049397696
627,1393,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.3062032394928426
681,1539,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.30941844916004724
767,1653,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.3221942682574946
834,1786,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.32456072093564553
905,1915,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.33029338806283853
977,2043,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.3361070238206773
1047,2173,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.3394773027458573
1104,2316,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.33930011980348124
1163,2457,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.3428608636274619
1235,2585,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.3499240114411273
1310,2710,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.3549871926344304
1372,2848,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.35557772975515434
1434,2986,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.3597200907779449
1500,3120,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.36312490630286276
1569,3251,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.3670043299019901
1627,3393,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.3663583486860858
1691,3529,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.3706422283343704
1767,3653,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.3753525565962564
1840,3780,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.37883716722763516
1919,3901,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.38401117576632254
1998,4022,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.3892040031596041
2075,4145,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.39510916966312765
2155,4265,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.40277573536570105
2237,4383,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.4087380731687383
2337,4483,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.4195898913385334
2431,4589,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.4265196985098485
2528,4692,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.43628452322224104
2613,4807,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.4440852502831237
2693,4927,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.45263828760889185
2790,5030,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.46327633613332636
2871,5149,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.47360892860918646
2957,5263,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.4825342806447144
3070,5350,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.4970065986057836
3182,5438,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.5126135845993487
3289,5531,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.5262180144801424
3398,5622,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.5407882150879278
3519,5701,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.5574703386318527
3649,5771,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.5759214920759882
3801,5819,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.5968517261025771
3955,5865,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.6187387984986935
