size intersection,size union,state,k,mean JI
3,17,filledlowerupper_,10,0.17647058823529413
73,147,filledlowerupper_,110,0.4965986394557823
139,281,filledlowerupper_,210,0.49466192170818507
224,396,filledlowerupper_,310,0.5656565656565656
309,511,filledlowerupper_,410,0.6046966731898239
388,632,filledlowerupper_,510,0.6139240506329114
464,756,filledlowerupper_,610,0.6137566137566137
540,880,filledlowerupper_,710,0.6136363636363636
627,993,filledlowerupper_,810,0.6314199395770392
706,1114,filledlowerupper_,910,0.6337522441651705
786,1234,filledlowerupper_,1010,0.6369529983792545
861,1359,filledlowerupper_,1110,0.6335540838852097
941,1479,filledlowerupper_,1210,0.6362407031778229
1026,1594,filledlowerupper_,1310,0.64366373902133
1105,1715,filledlowerupper_,1410,0.6443148688046647
1178,1842,filledlowerupper_,1510,0.6395222584147665
1249,1971,filledlowerupper_,1610,0.6336884830035515
1325,2095,filledlowerupper_,1710,0.6324582338902148
1406,2214,filledlowerupper_,1810,0.6350496838301717
1481,2339,filledlowerupper_,1910,0.6331765711842667
1556,2464,filledlowerupper_,2010,0.6314935064935064
1622,2598,filledlowerupper_,2110,0.6243264049268669
1697,2723,filledlowerupper_,2210,0.6232096951891296
1769,2851,filledlowerupper_,2310,0.6204840406874781
1844,2976,filledlowerupper_,2410,0.6196236559139785
1910,3110,filledlowerupper_,2510,0.6141479099678456
1983,3237,filledlowerupper_,2610,0.6126042632066728
2060,3360,filledlowerupper_,2710,0.6130952380952381
2133,3487,filledlowerupper_,2810,0.6117006022368798
2199,3621,filledlowerupper_,2910,0.6072908036454018
2271,3749,filledlowerupper_,3010,0.6057615364097092
2355,3865,filledlowerupper_,3110,0.6093143596377749
2431,3989,filledlowerupper_,3210,0.6094259212835297
2510,4110,filledlowerupper_,3310,0.610705596107056
2574,4246,filledlowerupper_,3410,0.6062176165803109
2639,4381,filledlowerupper_,3510,0.6023738872403561
2706,4514,filledlowerupper_,3610,0.5994683207797962
2781,4639,filledlowerupper_,3710,0.5994826471222247
2854,4766,filledlowerupper_,3810,0.5988250104909778
2918,4902,filledlowerupper_,3910,0.5952672378620971
3000,5020,filledlowerupper_,4010,0.5976095617529881
3074,5146,filledlowerupper_,4110,0.5973571706179557
3149,5271,filledlowerupper_,4210,0.5974198444317966
3217,5403,filledlowerupper_,4310,0.5954099574310568
3283,5537,filledlowerupper_,4410,0.5929203539823009
3354,5666,filledlowerupper_,4510,0.5919519943522767
3405,5815,filledlowerupper_,4610,0.585554600171969
3470,5950,filledlowerupper_,4710,0.5831932773109244
3534,6086,filledlowerupper_,4810,0.5806769635228393
3607,6213,filledlowerupper_,4910,0.5805568968292291
