size intersection,size union,state,k,mean JI
7,13,filledfemalemale_,10,0.5384615384615384
57,163,filledfemalemale_,110,0.3496932515337423
119,301,filledfemalemale_,210,0.3953488372093023
186,434,filledfemalemale_,310,0.42857142857142855
254,566,filledfemalemale_,410,0.44876325088339225
309,711,filledfemalemale_,510,0.4345991561181435
367,853,filledfemalemale_,610,0.43024618991793667
432,988,filledfemalemale_,710,0.43724696356275305
489,1131,filledfemalemale_,810,0.4323607427055703
540,1280,filledfemalemale_,910,0.421875
592,1428,filledfemalemale_,1010,0.41456582633053224
655,1565,filledfemalemale_,1110,0.4185303514376997
725,1695,filledfemalemale_,1210,0.4277286135693215
789,1831,filledfemalemale_,1310,0.4309120699071546
852,1968,filledfemalemale_,1410,0.4329268292682927
911,2109,filledfemalemale_,1510,0.4319582740635372
975,2245,filledfemalemale_,1610,0.43429844097995546
1040,2380,filledfemalemale_,1710,0.4369747899159664
1105,2515,filledfemalemale_,1810,0.4393638170974155
1173,2647,filledfemalemale_,1910,0.4431431809595769
1226,2794,filledfemalemale_,2010,0.43879742304939157
1289,2931,filledfemalemale_,2110,0.4397816444899352
1351,3069,filledfemalemale_,2210,0.44020853698273055
1409,3211,filledfemalemale_,2310,0.4388041108688882
1475,3345,filledfemalemale_,2410,0.44095665171898357
1532,3488,filledfemalemale_,2510,0.43922018348623854
1601,3619,filledfemalemale_,2610,0.44238739983420833
1661,3759,filledfemalemale_,2710,0.4418728385208832
1721,3899,filledfemalemale_,2810,0.44139522954603744
1778,4042,filledfemalemale_,2910,0.43988124690747155
1850,4170,filledfemalemale_,3010,0.44364508393285373
1908,4312,filledfemalemale_,3110,0.4424860853432282
1976,4444,filledfemalemale_,3210,0.4446444644464446
2038,4582,filledfemalemale_,3310,0.44478393714535136
2099,4721,filledfemalemale_,3410,0.4446091929675916
2145,4875,filledfemalemale_,3510,0.44
2209,5011,filledfemalemale_,3610,0.44083017361804033
2275,5145,filledfemalemale_,3710,0.4421768707482993
2337,5283,filledfemalemale_,3810,0.44236229415105055
2400,5420,filledfemalemale_,3910,0.44280442804428044
2454,5566,filledfemalemale_,4010,0.4408911246855911
2518,5702,filledfemalemale_,4110,0.4415994387934058
2589,5831,filledfemalemale_,4210,0.4440061738981307
2658,5962,filledfemalemale_,4310,0.44582354914458233
2722,6098,filledfemalemale_,4410,0.44637586093801246
2789,6231,filledfemalemale_,4510,0.4476007061466859
2853,6367,filledfemalemale_,4610,0.4480917229464426
2919,6501,filledfemalemale_,4710,0.44900784494693124
2990,6630,filledfemalemale_,4810,0.45098039215686275
3039,6781,filledfemalemale_,4910,0.4481639876124465
