size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.25326797385620914
25,195,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.21550671550671552
54,366,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.25436117989431767
96,524,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.30002558573940036
129,691,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.29695813378219027
172,848,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.31003593013597414
220,1000,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.3159499735453042
254,1166,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.3140801681775639
284,1336,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.3106697208844398
321,1499,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.31225110932183936
354,1666,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.3098082751317539
394,1826,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.3119043866505414
440,1980,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.31467147283880353
474,2146,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.3150103621168608
513,2307,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.3148096488477056
558,2462,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.312259319543051
593,2627,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.31213429391247044
640,2780,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.3168673802039584
684,2936,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.3167905096376087
731,3089,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.31936268157535647
773,3247,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.3181440593791158
816,3404,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.31894354192854063
856,3564,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.32088537639940534
890,3730,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.3203890563572307
932,3888,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.3202536002895365
965,4055,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.32032366305017235
1015,4205,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.3221964350833802
1062,4358,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.3248182861843836
1107,4513,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.3250462705597014
1141,4679,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.3233117622578634
1180,4840,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.3224870434388109
1215,5005,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.32189972598810096
1253,5167,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.32247660882661655
1298,5322,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.3241354702749742
1337,5483,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.3242482197680279
1386,5634,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.32525711233208127
1433,5787,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.32611649023473704
1476,5944,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.3260698772818518
1518,6102,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.3263153227325401
1560,6260,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.32625739188032904
1590,6430,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.3253794235207878
1633,6587,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.32564181456158736
1670,6750,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.3262785711974781
1717,6903,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.32623135076286963
1749,7071,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.3251288861326615
1793,7227,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.3251960965198972
1840,7380,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.3259051603531841
1887,7533,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.32593380970846736
1927,7693,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.3265695189331271
1970,7850,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.32649779361491565
