size intersection,size union,state,k,mean JI
5,15,filledblack or african americanwhite_,10,0.3333333333333333
51,169,filledblack or african americanwhite_,110,0.30177514792899407
111,309,filledblack or african americanwhite_,210,0.3592233009708738
176,444,filledblack or african americanwhite_,310,0.3963963963963964
254,566,filledblack or african americanwhite_,410,0.44876325088339225
313,707,filledblack or african americanwhite_,510,0.44271570014144274
377,843,filledblack or african americanwhite_,610,0.4472123368920522
428,992,filledblack or african americanwhite_,710,0.4314516129032258
491,1129,filledblack or african americanwhite_,810,0.4348981399468556
557,1263,filledblack or african americanwhite_,910,0.4410134600158353
612,1408,filledblack or african americanwhite_,1010,0.4346590909090909
676,1544,filledblack or african americanwhite_,1110,0.4378238341968912
738,1682,filledblack or african americanwhite_,1210,0.43876337693222356
808,1812,filledblack or african americanwhite_,1310,0.445916114790287
856,1964,filledblack or african americanwhite_,1410,0.43584521384928715
908,2112,filledblack or african americanwhite_,1510,0.42992424242424243
969,2251,filledblack or african americanwhite_,1610,0.43047534429142603
1025,2395,filledblack or african americanwhite_,1710,0.4279749478079332
1088,2532,filledblack or african americanwhite_,1810,0.4296998420221169
1140,2680,filledblack or african americanwhite_,1910,0.4253731343283582
1205,2815,filledblack or african americanwhite_,2010,0.4280639431616341
1255,2965,filledblack or african americanwhite_,2110,0.42327150084317033
1315,3105,filledblack or african americanwhite_,2210,0.42351046698872785
1374,3246,filledblack or african americanwhite_,2310,0.4232902033271719
1427,3393,filledblack or african americanwhite_,2410,0.4205717653993516
1479,3541,filledblack or african americanwhite_,2510,0.4176786218582321
1530,3690,filledblack or african americanwhite_,2610,0.4146341463414634
1580,3840,filledblack or african americanwhite_,2710,0.4114583333333333
1635,3985,filledblack or african americanwhite_,2810,0.410288582183187
1691,4129,filledblack or african americanwhite_,2910,0.40954226204892225
1752,4268,filledblack or african americanwhite_,3010,0.4104967197750703
1800,4420,filledblack or african americanwhite_,3110,0.4072398190045249
1850,4570,filledblack or african americanwhite_,3210,0.4048140043763676
1910,4710,filledblack or african americanwhite_,3310,0.40552016985138006
1963,4857,filledblack or african americanwhite_,3410,0.4041589458513486
2011,5009,filledblack or african americanwhite_,3510,0.40147734078658415
2073,5147,filledblack or african americanwhite_,3610,0.4027588886730134
2123,5297,filledblack or african americanwhite_,3710,0.40079290164243914
2180,5440,filledblack or african americanwhite_,3810,0.4007352941176471
2248,5572,filledblack or african americanwhite_,3910,0.40344580043072503
2309,5711,filledblack or african americanwhite_,4010,0.4043074767991595
2361,5859,filledblack or african americanwhite_,4110,0.40296979006656425
2418,6002,filledblack or african americanwhite_,4210,0.4028657114295235
2469,6151,filledblack or african americanwhite_,4310,0.4013981466428223
2522,6298,filledblack or african americanwhite_,4410,0.40044458558272467
2574,6446,filledblack or african americanwhite_,4510,0.3993174061433447
2632,6588,filledblack or african americanwhite_,4610,0.3995142683667274
2682,6738,filledblack or african americanwhite_,4710,0.39804096170970615
2724,6896,filledblack or african americanwhite_,4810,0.39501160092807425
2781,7039,filledblack or african americanwhite_,4910,0.3950845290524222
