size intersection,size union,state,k,mean JI
6,14,filledfemalemale_,10,0.42857142857142855
64,156,filledfemalemale_,110,0.41025641025641024
125,295,filledfemalemale_,210,0.423728813559322
184,436,filledfemalemale_,310,0.42201834862385323
245,575,filledfemalemale_,410,0.4260869565217391
316,704,filledfemalemale_,510,0.44886363636363635
376,844,filledfemalemale_,610,0.44549763033175355
440,980,filledfemalemale_,710,0.4489795918367347
504,1116,filledfemalemale_,810,0.45161290322580644
564,1256,filledfemalemale_,910,0.44904458598726116
612,1408,filledfemalemale_,1010,0.4346590909090909
681,1539,filledfemalemale_,1110,0.442495126705653
745,1675,filledfemalemale_,1210,0.44477611940298506
802,1818,filledfemalemale_,1310,0.44114411441144114
869,1951,filledfemalemale_,1410,0.4454126089185033
929,2091,filledfemalemale_,1510,0.44428503108560496
982,2238,filledfemalemale_,1610,0.4387846291331546
1040,2380,filledfemalemale_,1710,0.4369747899159664
1096,2524,filledfemalemale_,1810,0.43423137876386686
1149,2671,filledfemalemale_,1910,0.4301759640584051
1218,2802,filledfemalemale_,2010,0.4346895074946467
1289,2931,filledfemalemale_,2110,0.4397816444899352
1354,3066,filledfemalemale_,2210,0.441617742987606
1419,3201,filledfemalemale_,2310,0.44329896907216493
1485,3335,filledfemalemale_,2410,0.4452773613193403
1541,3479,filledfemalemale_,2510,0.44294337453291177
1604,3616,filledfemalemale_,2610,0.4435840707964602
1671,3749,filledfemalemale_,2710,0.4457188583622299
1743,3877,filledfemalemale_,2810,0.44957441320608715
1801,4019,filledfemalemale_,2910,0.44812142323961185
1865,4155,filledfemalemale_,3010,0.44885679903730447
1929,4291,filledfemalemale_,3110,0.44954556047541366
1983,4437,filledfemalemale_,3210,0.4469235970250169
2035,4585,filledfemalemale_,3310,0.44383860414394766
2096,4724,filledfemalemale_,3410,0.4436917866215072
2165,4855,filledfemalemale_,3510,0.44593202883625127
2226,4994,filledfemalemale_,3610,0.4457348818582299
2288,5132,filledfemalemale_,3710,0.44583008573655497
2355,5265,filledfemalemale_,3810,0.4472934472934473
2411,5409,filledfemalemale_,3910,0.44573858384174525
2462,5558,filledfemalemale_,4010,0.44296509535804246
2515,5705,filledfemalemale_,4110,0.44084136722173534
2568,5852,filledfemalemale_,4210,0.4388243335611757
2632,5988,filledfemalemale_,4310,0.4395457581830327
2688,6132,filledfemalemale_,4410,0.4383561643835616
2752,6268,filledfemalemale_,4510,0.4390555201021059
2816,6404,filledfemalemale_,4610,0.4397251717676452
2880,6540,filledfemalemale_,4710,0.44036697247706424
2943,6677,filledfemalemale_,4810,0.4407668114422645
3008,6812,filledfemalemale_,4910,0.4415736934820904
