size intersection,size union,state,k,mean JI
0,20,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.0
21,199,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.05746475260328932
54,366,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.08387424807283599
78,542,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.09696177662017462
105,715,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.09929760266687489
154,866,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.11370486347040072
190,1030,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.11808727645990787
241,1179,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.12950268727061273
277,1343,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.13366199746304627
321,1499,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.138618052984386
350,1670,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.1384685972561395
398,1822,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.14321843406777035
439,1981,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.14469347850730507
476,2144,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.1467798402322488
527,2293,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.15124138088013855
573,2447,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.15454866878027781
618,2602,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.15696684897663604
657,2763,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.1570774017293964
695,2925,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.15817806019351363
751,3069,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.16167938311664296
803,3217,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.16436728951196913
844,3376,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.16505962541864574
887,3533,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.16687915870500514
921,3699,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.16705491541000161
969,3851,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.16848035913144946
1015,4005,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.1695741006235162
1058,4162,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.17038536488170417
1096,4324,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.17094803325442756
1143,4477,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.17225329641875597
1185,4635,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.17301248932098148
1238,4782,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.17532368691670008
1287,4933,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.17693928394562097
1331,5089,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.17744140643754225
1362,5258,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.1774758630466433
1410,5410,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.1786902686233689
1463,5557,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.17991018394269606
1516,5704,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.18149118277397958
1568,5852,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.18262817141580054
1620,6000,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.18381990756304492
1657,6163,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.18413969116263407
1701,6319,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.18425748037050016
1755,6465,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.1857121907032816
1804,6616,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.18601468302252608
1842,6778,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.18565880724662
1882,6938,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.18598826237354218
1937,7083,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.18686840766756027
1988,7232,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.18766299025405261
2031,7389,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.18787448651447658
2079,7541,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.18866853082608034
2127,7693,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.18920822425472497
