size intersection,size union,state,k,mean JI
4,16,filledlowerupper_,10,0.25
38,182,filledlowerupper_,110,0.2087912087912088
65,355,filledlowerupper_,210,0.18309859154929578
107,513,filledlowerupper_,310,0.20857699805068225
152,668,filledlowerupper_,410,0.2275449101796407
204,816,filledlowerupper_,510,0.25
243,977,filledlowerupper_,610,0.24872057318321392
291,1129,filledlowerupper_,710,0.2577502214348981
346,1274,filledlowerupper_,810,0.271585557299843
395,1425,filledlowerupper_,910,0.2771929824561403
451,1569,filledlowerupper_,1010,0.2874442319949012
499,1721,filledlowerupper_,1110,0.28994770482277743
553,1867,filledlowerupper_,1210,0.29619710765934654
601,2019,filledlowerupper_,1310,0.2976721149083705
649,2171,filledlowerupper_,1410,0.2989405803777061
698,2322,filledlowerupper_,1510,0.3006029285099053
755,2465,filledlowerupper_,1610,0.30628803245436104
821,2599,filledlowerupper_,1710,0.3158907272027703
888,2732,filledlowerupper_,1810,0.32503660322108346
955,2865,filledlowerupper_,1910,0.3333333333333333
1002,3018,filledlowerupper_,2010,0.3320079522862823
1055,3165,filledlowerupper_,2110,0.3333333333333333
1114,3306,filledlowerupper_,2210,0.3369630973986691
1152,3468,filledlowerupper_,2310,0.33217993079584773
1201,3619,filledlowerupper_,2410,0.33185962973197014
1251,3769,filledlowerupper_,2510,0.33191828071106394
1316,3904,filledlowerupper_,2610,0.33709016393442626
1362,4058,filledlowerupper_,2710,0.33563331690487924
1423,4197,filledlowerupper_,2810,0.33905170359780795
1473,4347,filledlowerupper_,2910,0.3388543823326432
1532,4488,filledlowerupper_,3010,0.3413547237076649
1593,4627,filledlowerupper_,3110,0.344283553058137
1646,4774,filledlowerupper_,3210,0.3447842480100545
1692,4928,filledlowerupper_,3310,0.34334415584415584
1742,5078,filledlowerupper_,3410,0.3430484442693974
1800,5220,filledlowerupper_,3510,0.3448275862068966
1861,5359,filledlowerupper_,3610,0.34726628102257884
1912,5508,filledlowerupper_,3710,0.34713144517066086
1951,5669,filledlowerupper_,3810,0.34415240783206913
2003,5817,filledlowerupper_,3910,0.34433556816228295
2059,5961,filledlowerupper_,4010,0.34541184365039423
2126,6094,filledlowerupper_,4110,0.3488677387594355
2188,6232,filledlowerupper_,4210,0.35109114249037227
2240,6380,filledlowerupper_,4310,0.3510971786833856
2288,6532,filledlowerupper_,4410,0.35027556644213104
2342,6678,filledlowerupper_,4510,0.3507038035339922
2401,6819,filledlowerupper_,4610,0.35210441413697025
2462,6958,filledlowerupper_,4710,0.353837309571716
2509,7111,filledlowerupper_,4810,0.35283363802559414
2557,7263,filledlowerupper_,4910,0.3520583780806829
