size intersection,size union,state,k,mean JI
0,20,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.0
24,196,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.07807673504464628
57,363,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.0911839435691821
85,535,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.09620486988040011
113,707,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.10286930066217174
163,857,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.12144321350855773
202,1018,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.12549995834228278
236,1184,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.1281885137785289
281,1339,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.136471936219925
331,1489,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.14235241194483358
375,1645,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.14481947551122185
414,1806,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.1490670741847356
461,1959,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.15183058371736577
507,2113,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.15595606274361537
560,2260,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.16095652705956023
599,2421,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.16333635349370587
645,2575,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.16575502048169116
703,2717,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.1693857946874633
743,2877,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.1703540856230282
782,3038,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.1716586276087496
823,3197,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.17341687533863814
873,3347,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.1757172841676237
923,3497,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.17850177490275074
980,3640,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.1803931789410976
1028,3792,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.1816255686595324
1082,3938,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.1835330514905323
1124,4096,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.18427163149940573
1180,4240,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.18558309858524505
1238,4382,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.18760751709703594
1289,4531,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.18899676033384724
1341,4679,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.19026300482369962
1387,4833,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.19027114115818614
1429,4991,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.19094993278033567
1481,5139,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.19329505710689446
1535,5285,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.19457838452951334
1600,5420,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.19695954087788348
1646,5574,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.19671144287596257
1695,5725,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.1971252148517625
1739,5881,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.19679541707439477
1794,6026,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.19805455620539444
1853,6167,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.1999208397351749
1907,6313,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.20071907507331047
1963,6457,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.20167140090967295
2009,6611,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.20191623210489318
2056,6764,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.20212095577947906
2099,6921,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.20274571775910258
2151,7069,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.203515555556675
2209,7211,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.20466189137882454
2260,7360,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.20452353165819984
2314,7506,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.20574212923953064
