size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
21,199,filledlowerupper_,110,0.10552763819095477
40,380,filledlowerupper_,210,0.10526315789473684
66,554,filledlowerupper_,310,0.11913357400722022
98,722,filledlowerupper_,410,0.13573407202216067
118,902,filledlowerupper_,510,0.13082039911308205
152,1068,filledlowerupper_,610,0.14232209737827714
183,1237,filledlowerupper_,710,0.14793856103476152
211,1409,filledlowerupper_,810,0.1497515968772179
241,1579,filledlowerupper_,910,0.1526282457251425
266,1754,filledlowerupper_,1010,0.1516533637400228
293,1927,filledlowerupper_,1110,0.15204981837052414
326,2094,filledlowerupper_,1210,0.1556829035339064
343,2277,filledlowerupper_,1310,0.15063680281071584
373,2447,filledlowerupper_,1410,0.15243154883530854
400,2620,filledlowerupper_,1510,0.15267175572519084
426,2794,filledlowerupper_,1610,0.15246957766642805
448,2972,filledlowerupper_,1710,0.15074024226110364
483,3137,filledlowerupper_,1810,0.1539687599617469
498,3322,filledlowerupper_,1910,0.14990969295605058
523,3497,filledlowerupper_,2010,0.14955676293966258
547,3673,filledlowerupper_,2110,0.1489245848080588
569,3851,filledlowerupper_,2210,0.14775383017398078
593,4027,filledlowerupper_,2310,0.14725602185249564
626,4194,filledlowerupper_,2410,0.1492608488316643
645,4375,filledlowerupper_,2510,0.14742857142857144
675,4545,filledlowerupper_,2610,0.1485148514851485
704,4716,filledlowerupper_,2710,0.14927905004240882
728,4892,filledlowerupper_,2810,0.14881439084219134
755,5065,filledlowerupper_,2910,0.14906219151036526
776,5244,filledlowerupper_,3010,0.14797864225781845
801,5419,filledlowerupper_,3110,0.1478132496770622
826,5594,filledlowerupper_,3210,0.14765820521987844
846,5774,filledlowerupper_,3310,0.14651887772774505
870,5950,filledlowerupper_,3410,0.146218487394958
899,6121,filledlowerupper_,3510,0.14687142623754287
919,6301,filledlowerupper_,3610,0.14584986510077766
942,6478,filledlowerupper_,3710,0.14541525162087063
968,6652,filledlowerupper_,3810,0.1455201443174985
989,6831,filledlowerupper_,3910,0.1447811447811448
1010,7010,filledlowerupper_,4010,0.14407988587731813
1037,7183,filledlowerupper_,4110,0.1443686481971321
1053,7367,filledlowerupper_,4210,0.14293470883670423
1077,7543,filledlowerupper_,4310,0.14278138671616067
1108,7712,filledlowerupper_,4410,0.14367219917012447
1130,7890,filledlowerupper_,4510,0.1432192648922687
1152,8068,filledlowerupper_,4610,0.1427863163113535
1172,8248,filledlowerupper_,4710,0.14209505334626577
1192,8428,filledlowerupper_,4810,0.14143331751305174
1215,8605,filledlowerupper_,4910,0.1411969785008716
