size intersection,size union,state,k,mean JI
2,18,filledlowerupper_,10,0.1111111111111111
31,189,filledlowerupper_,110,0.164021164021164
67,353,filledlowerupper_,210,0.18980169971671387
100,520,filledlowerupper_,310,0.19230769230769232
137,683,filledlowerupper_,410,0.2005856515373353
180,840,filledlowerupper_,510,0.21428571428571427
214,1006,filledlowerupper_,610,0.21272365805168986
254,1166,filledlowerupper_,710,0.21783876500857632
289,1331,filledlowerupper_,810,0.21712997746055598
327,1493,filledlowerupper_,910,0.21902210314802412
363,1657,filledlowerupper_,1010,0.21907060953530477
410,1810,filledlowerupper_,1110,0.2265193370165746
443,1977,filledlowerupper_,1210,0.2240768841679312
487,2133,filledlowerupper_,1310,0.22831692451945618
522,2298,filledlowerupper_,1410,0.22715404699738903
567,2453,filledlowerupper_,1510,0.2311455360782715
600,2620,filledlowerupper_,1610,0.22900763358778625
643,2777,filledlowerupper_,1710,0.23154483255311487
679,2941,filledlowerupper_,1810,0.23087385243114586
714,3106,filledlowerupper_,1910,0.2298776561493883
751,3269,filledlowerupper_,2010,0.22973386356684
796,3424,filledlowerupper_,2110,0.2324766355140187
843,3577,filledlowerupper_,2210,0.23567235113223373
882,3738,filledlowerupper_,2310,0.23595505617977527
906,3914,filledlowerupper_,2410,0.23147675012774654
944,4076,filledlowerupper_,2510,0.23159960745829244
981,4239,filledlowerupper_,2610,0.23142250530785563
1014,4406,filledlowerupper_,2710,0.230140717203813
1050,4570,filledlowerupper_,2810,0.22975929978118162
1087,4733,filledlowerupper_,2910,0.2296640608493556
1131,4889,filledlowerupper_,3010,0.23133565146246676
1169,5051,filledlowerupper_,3110,0.23143931894674322
1205,5215,filledlowerupper_,3210,0.23106423777564716
1246,5374,filledlowerupper_,3310,0.23185708969110533
1281,5539,filledlowerupper_,3410,0.23126918216284528
1319,5701,filledlowerupper_,3510,0.23136291878617787
1357,5863,filledlowerupper_,3610,0.2314514753539144
1391,6029,filledlowerupper_,3710,0.23071819538895338
1424,6196,filledlowerupper_,3810,0.22982569399612654
1461,6359,filledlowerupper_,3910,0.22975310583425068
1498,6522,filledlowerupper_,4010,0.22968414596749465
1529,6691,filledlowerupper_,4110,0.22851591690330295
1568,6852,filledlowerupper_,4210,0.22883829538820782
1604,7016,filledlowerupper_,4310,0.22862029646522236
1639,7181,filledlowerupper_,4410,0.22824119203453558
1681,7339,filledlowerupper_,4510,0.22905027932960895
1714,7506,filledlowerupper_,4610,0.22835065281108446
1750,7670,filledlowerupper_,4710,0.22816166883963493
1791,7829,filledlowerupper_,4810,0.228764848639673
1840,7980,filledlowerupper_,4910,0.23057644110275688
