size intersection,size union,state,k,mean JI
0,20,filledfemalemale_,10,0.0
24,196,filledfemalemale_,110,0.12244897959183673
45,375,filledfemalemale_,210,0.12
67,553,filledfemalemale_,310,0.12115732368896925
85,735,filledfemalemale_,410,0.11564625850340136
98,922,filledfemalemale_,510,0.10629067245119306
122,1098,filledfemalemale_,610,0.1111111111111111
149,1271,filledfemalemale_,710,0.11723052714398112
172,1448,filledfemalemale_,810,0.11878453038674033
192,1628,filledfemalemale_,910,0.11793611793611794
212,1808,filledfemalemale_,1010,0.1172566371681416
243,1977,filledfemalemale_,1110,0.12291350531107739
274,2146,filledfemalemale_,1210,0.1276794035414725
296,2324,filledfemalemale_,1310,0.12736660929432014
313,2507,filledfemalemale_,1410,0.12485041882728361
336,2684,filledfemalemale_,1510,0.12518628912071536
360,2860,filledfemalemale_,1610,0.1258741258741259
383,3037,filledfemalemale_,1710,0.1261112940401712
411,3209,filledfemalemale_,1810,0.1280772826425678
436,3384,filledfemalemale_,1910,0.1288416075650118
463,3557,filledfemalemale_,2010,0.13016587011526567
482,3738,filledfemalemale_,2110,0.12894596040663456
503,3917,filledfemalemale_,2210,0.12841460301250956
525,4095,filledfemalemale_,2310,0.1282051282051282
545,4275,filledfemalemale_,2410,0.12748538011695906
568,4452,filledfemalemale_,2510,0.1275831087151842
589,4631,filledfemalemale_,2610,0.12718635283955948
610,4810,filledfemalemale_,2710,0.12681912681912683
637,4983,filledfemalemale_,2810,0.1278346377684126
668,5152,filledfemalemale_,2910,0.1296583850931677
695,5325,filledfemalemale_,3010,0.13051643192488263
715,5505,filledfemalemale_,3110,0.1298819255222525
743,5677,filledfemalemale_,3210,0.1308789853796019
765,5855,filledfemalemale_,3310,0.13065755764304013
795,6025,filledfemalemale_,3410,0.13195020746887967
818,6202,filledfemalemale_,3510,0.13189293776201225
856,6364,filledfemalemale_,3610,0.1345065996228787
886,6534,filledfemalemale_,3710,0.13559840832568104
905,6715,filledfemalemale_,3810,0.1347728965003723
920,6900,filledfemalemale_,3910,0.13333333333333333
942,7078,filledfemalemale_,4010,0.13308844306301215
959,7261,filledfemalemale_,4110,0.1320754716981132
984,7436,filledfemalemale_,4210,0.13232920925228617
1007,7613,filledfemalemale_,4310,0.1322737422829371
1029,7791,filledfemalemale_,4410,0.1320754716981132
1057,7963,filledfemalemale_,4510,0.132738917493407
1082,8138,filledfemalemale_,4610,0.13295650036864096
1101,8319,filledfemalemale_,4710,0.13234763793725207
1120,8500,filledfemalemale_,4810,0.13176470588235295
1144,8676,filledfemalemale_,4910,0.1318579990779161
