size intersection,size union,state,k,mean JI
0,20,filledblack or african americanwhite_,10,0.0
8,212,filledblack or african americanwhite_,110,0.03773584905660377
19,401,filledblack or african americanwhite_,210,0.04738154613466334
28,592,filledblack or african americanwhite_,310,0.0472972972972973
47,773,filledblack or african americanwhite_,410,0.06080206985769728
70,950,filledblack or african americanwhite_,510,0.07368421052631578
84,1136,filledblack or african americanwhite_,610,0.07394366197183098
99,1321,filledblack or african americanwhite_,710,0.07494322482967448
114,1506,filledblack or african americanwhite_,810,0.07569721115537849
133,1687,filledblack or african americanwhite_,910,0.07883817427385892
148,1872,filledblack or african americanwhite_,1010,0.07905982905982906
161,2059,filledblack or african americanwhite_,1110,0.07819329771733852
180,2240,filledblack or african americanwhite_,1210,0.08035714285714286
197,2423,filledblack or african americanwhite_,1310,0.08130416838629798
216,2604,filledblack or african americanwhite_,1410,0.08294930875576037
229,2791,filledblack or african americanwhite_,1510,0.08204944464349695
247,2973,filledblack or african americanwhite_,1610,0.08308106289942818
278,3142,filledblack or african americanwhite_,1710,0.08847867600254615
292,3328,filledblack or african americanwhite_,1810,0.08774038461538461
309,3511,filledblack or african americanwhite_,1910,0.08800911421247508
326,3694,filledblack or african americanwhite_,2010,0.08825121819166215
349,3871,filledblack or african americanwhite_,2110,0.09015758202014983
365,4055,filledblack or african americanwhite_,2210,0.09001233045622688
383,4237,filledblack or african americanwhite_,2310,0.09039414680198253
408,4412,filledblack or african americanwhite_,2410,0.09247506799637353
436,4584,filledblack or african americanwhite_,2510,0.09511343804537521
459,4761,filledblack or african americanwhite_,2610,0.09640831758034027
477,4943,filledblack or african americanwhite_,2710,0.09650010115314586
494,5126,filledblack or african americanwhite_,2810,0.0963714397190792
517,5303,filledblack or african americanwhite_,2910,0.09749198566848953
535,5485,filledblack or african americanwhite_,3010,0.097538742023701
556,5664,filledblack or african americanwhite_,3110,0.0981638418079096
576,5844,filledblack or african americanwhite_,3210,0.09856262833675565
594,6026,filledblack or african americanwhite_,3310,0.0985728509790906
611,6209,filledblack or african americanwhite_,3410,0.09840554034466098
627,6393,filledblack or african americanwhite_,3510,0.09807602064758329
641,6579,filledblack or african americanwhite_,3610,0.09743122055023559
661,6759,filledblack or african americanwhite_,3710,0.09779553188341471
674,6946,filledblack or african americanwhite_,3810,0.09703426432479124
691,7129,filledblack or african americanwhite_,3910,0.09692804039837284
707,7313,filledblack or african americanwhite_,4010,0.09667715028032271
728,7492,filledblack or african americanwhite_,4110,0.09717031500266951
739,7681,filledblack or african americanwhite_,4210,0.09621143080328082
763,7857,filledblack or african americanwhite_,4310,0.09711085656102839
784,8036,filledblack or african americanwhite_,4410,0.0975609756097561
799,8221,filledblack or african americanwhite_,4510,0.09719012285610024
818,8402,filledblack or african americanwhite_,4610,0.09735777195905737
836,8584,filledblack or african americanwhite_,4710,0.09739049394221808
857,8763,filledblack or african americanwhite_,4810,0.0977975579139564
877,8943,filledblack or african americanwhite_,4910,0.09806552610980655
