size intersection,size union,state,k,mean JI
0,20,filledfemalemale_,10,0.0
11,209,filledfemalemale_,110,0.05263157894736842
29,391,filledfemalemale_,210,0.0741687979539642
49,571,filledfemalemale_,310,0.08581436077057793
64,756,filledfemalemale_,410,0.08465608465608465
86,934,filledfemalemale_,510,0.09207708779443255
100,1120,filledfemalemale_,610,0.08928571428571429
130,1290,filledfemalemale_,710,0.10077519379844961
147,1473,filledfemalemale_,810,0.09979633401221996
170,1650,filledfemalemale_,910,0.10303030303030303
194,1826,filledfemalemale_,1010,0.10624315443592552
222,1998,filledfemalemale_,1110,0.1111111111111111
239,2181,filledfemalemale_,1210,0.10958276020174232
268,2352,filledfemalemale_,1310,0.11394557823129252
294,2526,filledfemalemale_,1410,0.1163895486935867
323,2697,filledfemalemale_,1510,0.11976269929551353
351,2869,filledfemalemale_,1610,0.12234227953990938
385,3035,filledfemalemale_,1710,0.12685337726523888
408,3212,filledfemalemale_,1810,0.12702366127023662
431,3389,filledfemalemale_,1910,0.1271761581587489
457,3563,filledfemalemale_,2010,0.12826269997193376
487,3733,filledfemalemale_,2110,0.1304580766139834
510,3910,filledfemalemale_,2210,0.13043478260869565
536,4084,filledfemalemale_,2310,0.13124387855044076
564,4256,filledfemalemale_,2410,0.1325187969924812
593,4427,filledfemalemale_,2510,0.1339507567201265
615,4605,filledfemalemale_,2610,0.13355048859934854
642,4778,filledfemalemale_,2710,0.1343658434491419
667,4953,filledfemalemale_,2810,0.1346658590753079
693,5127,filledfemalemale_,2910,0.13516676418958457
715,5305,filledfemalemale_,3010,0.1347785108388313
744,5476,filledfemalemale_,3110,0.1358655953250548
773,5647,filledfemalemale_,3210,0.13688684257127678
796,5824,filledfemalemale_,3310,0.13667582417582416
822,5998,filledfemalemale_,3410,0.13704568189396465
842,6178,filledfemalemale_,3510,0.13629006150857884
877,6343,filledfemalemale_,3610,0.13826265174207789
899,6521,filledfemalemale_,3710,0.13786229105965342
915,6705,filledfemalemale_,3810,0.13646532438478748
936,6884,filledfemalemale_,3910,0.13596746077861707
961,7059,filledfemalemale_,4010,0.1361382632100864
979,7241,filledfemalemale_,4110,0.13520232012153016
1006,7414,filledfemalemale_,4210,0.1356892365794443
1026,7594,filledfemalemale_,4310,0.13510666315512246
1045,7775,filledfemalemale_,4410,0.13440514469453377
1070,7950,filledfemalemale_,4510,0.13459119496855346
1104,8116,filledfemalemale_,4610,0.13602759980285856
1124,8296,filledfemalemale_,4710,0.13548698167791706
1142,8478,filledfemalemale_,4810,0.13470158056145318
1173,8647,filledfemalemale_,4910,0.13565398404070775
