size intersection,size union,state,k,mean JI
1,19,filledfemalemale_,10,0.05263157894736842
13,207,filledfemalemale_,110,0.06280193236714976
40,380,filledfemalemale_,210,0.10526315789473684
70,550,filledfemalemale_,310,0.12727272727272726
94,726,filledfemalemale_,410,0.12947658402203857
118,902,filledfemalemale_,510,0.13082039911308205
137,1083,filledfemalemale_,610,0.1265004616805171
160,1260,filledfemalemale_,710,0.12698412698412698
187,1433,filledfemalemale_,810,0.13049546406140963
210,1610,filledfemalemale_,910,0.13043478260869565
235,1785,filledfemalemale_,1010,0.13165266106442577
261,1959,filledfemalemale_,1110,0.1332312404287902
293,2127,filledfemalemale_,1210,0.1377527033380348
314,2306,filledfemalemale_,1310,0.13616652211621855
340,2480,filledfemalemale_,1410,0.13709677419354838
371,2649,filledfemalemale_,1510,0.14005285013212532
397,2823,filledfemalemale_,1610,0.1406305348919589
419,3001,filledfemalemale_,1710,0.13962012662445852
447,3173,filledfemalemale_,1810,0.14087614245193822
480,3340,filledfemalemale_,1910,0.1437125748502994
493,3527,filledfemalemale_,2010,0.13977884888006806
516,3704,filledfemalemale_,2110,0.13930885529157666
536,3884,filledfemalemale_,2210,0.1380020597322348
560,4060,filledfemalemale_,2310,0.13793103448275862
591,4229,filledfemalemale_,2410,0.1397493497280681
622,4398,filledfemalemale_,2510,0.14142792178262847
650,4570,filledfemalemale_,2610,0.1422319474835886
674,4746,filledfemalemale_,2710,0.14201432785503582
695,4925,filledfemalemale_,2810,0.14111675126903553
720,5100,filledfemalemale_,2910,0.1411764705882353
747,5273,filledfemalemale_,3010,0.14166508628864025
782,5438,filledfemalemale_,3110,0.14380286870172856
810,5610,filledfemalemale_,3210,0.1443850267379679
830,5790,filledfemalemale_,3310,0.14335060449050085
852,5968,filledfemalemale_,3410,0.1427613941018767
880,6140,filledfemalemale_,3510,0.14332247557003258
899,6321,filledfemalemale_,3610,0.14222433159310235
919,6501,filledfemalemale_,3710,0.14136286725119213
940,6680,filledfemalemale_,3810,0.1407185628742515
967,6853,filledfemalemale_,3910,0.14110608492630963
985,7035,filledfemalemale_,4010,0.14001421464108033
1013,7207,filledfemalemale_,4110,0.1405577910364923
1039,7381,filledfemalemale_,4210,0.14076683376236282
1061,7559,filledfemalemale_,4310,0.14036248180976318
1087,7733,filledfemalemale_,4410,0.14056640372429846
1117,7903,filledfemalemale_,4510,0.14133873212704037
1137,8083,filledfemalemale_,4610,0.1406655944575034
1164,8256,filledfemalemale_,4710,0.14098837209302326
1185,8435,filledfemalemale_,4810,0.14048606994665086
1209,8611,filledfemalemale_,4910,0.14040181163627918
