size intersection,size union,state,k,mean JI
0,20,filledblack or african americanwhite_,10,0.0
9,211,filledblack or african americanwhite_,110,0.04265402843601896
23,397,filledblack or african americanwhite_,210,0.05793450881612091
44,576,filledblack or african americanwhite_,310,0.0763888888888889
61,759,filledblack or african americanwhite_,410,0.08036890645586298
80,940,filledblack or african americanwhite_,510,0.0851063829787234
97,1123,filledblack or african americanwhite_,610,0.08637577916295637
119,1301,filledblack or african americanwhite_,710,0.09146810146041506
146,1474,filledblack or african americanwhite_,810,0.09905020352781546
171,1649,filledblack or african americanwhite_,910,0.10369921164342026
187,1833,filledblack or african americanwhite_,1010,0.10201854882705946
207,2013,filledblack or african americanwhite_,1110,0.10283159463487332
226,2194,filledblack or african americanwhite_,1210,0.10300820419325434
250,2370,filledblack or african americanwhite_,1310,0.10548523206751055
269,2551,filledblack or african americanwhite_,1410,0.10544884359074873
287,2733,filledblack or african americanwhite_,1510,0.10501280643980973
310,2910,filledblack or african americanwhite_,1610,0.10652920962199312
329,3091,filledblack or african americanwhite_,1710,0.1064380459398253
342,3278,filledblack or african americanwhite_,1810,0.10433190970103721
361,3459,filledblack or african americanwhite_,1910,0.10436542353281295
383,3637,filledblack or african americanwhite_,2010,0.10530657135001374
401,3819,filledblack or african americanwhite_,2110,0.1050013092432574
433,3987,filledblack or african americanwhite_,2210,0.10860295961876097
452,4168,filledblack or african americanwhite_,2310,0.10844529750479846
473,4347,filledblack or african americanwhite_,2410,0.10881067402806534
496,4524,filledblack or african americanwhite_,2510,0.10963748894783377
520,4700,filledblack or african americanwhite_,2610,0.11063829787234042
544,4876,filledblack or african americanwhite_,2710,0.11156685808039377
557,5063,filledblack or african americanwhite_,2810,0.11001382579498321
576,5244,filledblack or african americanwhite_,2910,0.10983981693363844
600,5420,filledblack or african americanwhite_,3010,0.11070110701107011
618,5602,filledblack or african americanwhite_,3110,0.1103177436629775
637,5783,filledblack or african americanwhite_,3210,0.11015044094760505
654,5966,filledblack or african americanwhite_,3310,0.10962118672477372
678,6142,filledblack or african americanwhite_,3410,0.1103874959296646
698,6322,filledblack or african americanwhite_,3510,0.1104080987029421
714,6506,filledblack or african americanwhite_,3610,0.10974485090685521
730,6690,filledblack or african americanwhite_,3710,0.10911808669656203
750,6870,filledblack or african americanwhite_,3810,0.1091703056768559
767,7053,filledblack or african americanwhite_,3910,0.10874805047497518
783,7237,filledblack or african americanwhite_,4010,0.10819400303993368
797,7423,filledblack or african americanwhite_,4110,0.1073689882796713
810,7610,filledblack or african americanwhite_,4210,0.10643889618922471
834,7786,filledblack or african americanwhite_,4310,0.10711533521705625
853,7967,filledblack or african americanwhite_,4410,0.10706664993096524
871,8149,filledblack or african americanwhite_,4510,0.10688428027978893
894,8326,filledblack or african americanwhite_,4610,0.10737448955080471
909,8511,filledblack or african americanwhite_,4710,0.10680296087416284
929,8691,filledblack or african americanwhite_,4810,0.10689218732021631
950,8870,filledblack or african americanwhite_,4910,0.10710259301014656
