size intersection,size union,state,k,mean JI
2,18,filledfemalemale_,10,0.1111111111111111
12,208,filledfemalemale_,110,0.057692307692307696
24,396,filledfemalemale_,210,0.06060606060606061
45,575,filledfemalemale_,310,0.0782608695652174
79,741,filledfemalemale_,410,0.10661268556005399
114,906,filledfemalemale_,510,0.12582781456953643
145,1075,filledfemalemale_,610,0.13488372093023257
185,1235,filledfemalemale_,710,0.14979757085020243
225,1395,filledfemalemale_,810,0.16129032258064516
260,1560,filledfemalemale_,910,0.16666666666666666
304,1716,filledfemalemale_,1010,0.17715617715617715
338,1882,filledfemalemale_,1110,0.179596174282678
374,2046,filledfemalemale_,1210,0.1827956989247312
418,2202,filledfemalemale_,1310,0.18982742960944596
459,2361,filledfemalemale_,1410,0.19440914866581957
505,2515,filledfemalemale_,1510,0.20079522862823063
546,2674,filledfemalemale_,1610,0.20418848167539266
583,2837,filledfemalemale_,1710,0.20549876630243213
624,2996,filledfemalemale_,1810,0.2082777036048064
667,3153,filledfemalemale_,1910,0.21154456073580716
711,3309,filledfemalemale_,2010,0.21486854034451497
752,3468,filledfemalemale_,2110,0.21683967704728951
786,3634,filledfemalemale_,2210,0.2162905888827738
837,3783,filledfemalemale_,2310,0.2212529738302934
879,3941,filledfemalemale_,2410,0.22303983760466886
924,4096,filledfemalemale_,2510,0.2255859375
971,4249,filledfemalemale_,2610,0.22852435867262885
1009,4411,filledfemalemale_,2710,0.22874631602811155
1046,4574,filledfemalemale_,2810,0.22868386532575427
1089,4731,filledfemalemale_,2910,0.2301838934686113
1131,4889,filledfemalemale_,3010,0.23133565146246676
1179,5041,filledfemalemale_,3110,0.23388216623685776
1225,5195,filledfemalemale_,3210,0.2358036573628489
1265,5355,filledfemalemale_,3310,0.23622782446311857
1313,5507,filledfemalemale_,3410,0.23842382422371527
1354,5666,filledfemalemale_,3510,0.23896929050476526
1399,5821,filledfemalemale_,3610,0.24033671190517095
1450,5970,filledfemalemale_,3710,0.24288107202680068
1496,6124,filledfemalemale_,3810,0.2442847811887655
1546,6274,filledfemalemale_,3910,0.24641377111890342
1588,6432,filledfemalemale_,4010,0.2468905472636816
1638,6582,filledfemalemale_,4110,0.2488605287146764
1681,6739,filledfemalemale_,4210,0.24944353761685711
1733,6887,filledfemalemale_,4310,0.25163351241469434
1786,7034,filledfemalemale_,4410,0.2539095820301393
1838,7182,filledfemalemale_,4510,0.2559175717070454
1885,7335,filledfemalemale_,4610,0.25698704839809133
1934,7486,filledfemalemale_,4710,0.25834891798022974
1967,7653,filledfemalemale_,4810,0.2570233895204495
2025,7795,filledfemalemale_,4910,0.25978191148171903
