size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
23,197,filledfemalemale_,110,0.116751269035533
58,362,filledfemalemale_,210,0.16022099447513813
98,522,filledfemalemale_,310,0.18773946360153257
132,688,filledfemalemale_,410,0.19186046511627908
167,853,filledfemalemale_,510,0.19577960140679954
218,1002,filledfemalemale_,610,0.21756487025948104
261,1159,filledfemalemale_,710,0.22519413287316653
295,1325,filledfemalemale_,810,0.22264150943396227
338,1482,filledfemalemale_,910,0.22807017543859648
369,1651,filledfemalemale_,1010,0.22350090854027863
413,1807,filledfemalemale_,1110,0.2285556170448257
455,1965,filledfemalemale_,1210,0.23155216284987276
502,2118,filledfemalemale_,1310,0.23701605288007555
538,2282,filledfemalemale_,1410,0.2357581069237511
594,2426,filledfemalemale_,1510,0.2448474855729596
637,2583,filledfemalemale_,1610,0.24661246612466126
685,2735,filledfemalemale_,1710,0.25045703839122485
729,2891,filledfemalemale_,1810,0.2521618817018333
778,3042,filledfemalemale_,1910,0.25575279421433267
823,3197,filledfemalemale_,2010,0.257428839537066
880,3340,filledfemalemale_,2110,0.2634730538922156
928,3492,filledfemalemale_,2210,0.26575028636884307
974,3646,filledfemalemale_,2310,0.2671420735052112
1019,3801,filledfemalemale_,2410,0.26808734543541174
1064,3956,filledfemalemale_,2510,0.268958543983822
1109,4111,filledfemalemale_,2610,0.26976404767696427
1146,4274,filledfemalemale_,2710,0.26813289658399625
1190,4430,filledfemalemale_,2810,0.2686230248306998
1233,4587,filledfemalemale_,2910,0.26880313930673644
1284,4736,filledfemalemale_,3010,0.27111486486486486
1317,4903,filledfemalemale_,3110,0.2686110544564552
1367,5053,filledfemalemale_,3210,0.2705323570156343
1418,5202,filledfemalemale_,3310,0.27258746635909264
1469,5351,filledfemalemale_,3410,0.27452812558400297
1509,5511,filledfemalemale_,3510,0.27381600435492653
1563,5657,filledfemalemale_,3610,0.2762948559307053
1605,5815,filledfemalemale_,3710,0.2760103181427343
1646,5974,filledfemalemale_,3810,0.2755272849012387
1701,6119,filledfemalemale_,3910,0.27798659911750284
1747,6273,filledfemalemale_,4010,0.2784951378925554
1788,6432,filledfemalemale_,4110,0.27798507462686567
1829,6591,filledfemalemale_,4210,0.277499620694887
1878,6742,filledfemalemale_,4310,0.2785523583506378
1925,6895,filledfemalemale_,4410,0.27918781725888325
1967,7053,filledfemalemale_,4510,0.27888841627676164
2015,7205,filledfemalemale_,4610,0.27966689798750866
2061,7359,filledfemalemale_,4710,0.28006522625356706
2107,7513,filledfemalemale_,4810,0.28044722481032874
2145,7675,filledfemalemale_,4910,0.27947882736156354
