size intersection,size union,state,k,mean JI
0,20,filledg_allupper_,10,0.0
5,215,filledg_allupper_,110,0.023255813953488372
22,398,filledg_allupper_,210,0.05527638190954774
37,583,filledg_allupper_,310,0.0634648370497427
52,768,filledg_allupper_,410,0.06770833333333333
66,954,filledg_allupper_,510,0.06918238993710692
83,1137,filledg_allupper_,610,0.07299912049252419
104,1316,filledg_allupper_,710,0.0790273556231003
126,1494,filledg_allupper_,810,0.08433734939759036
146,1674,filledg_allupper_,910,0.08721624850657109
160,1860,filledg_allupper_,1010,0.08602150537634409
175,2045,filledg_allupper_,1110,0.08557457212713937
191,2229,filledg_allupper_,1210,0.08568864961866307
205,2415,filledg_allupper_,1310,0.08488612836438923
216,2604,filledg_allupper_,1410,0.08294930875576037
232,2788,filledg_allupper_,1510,0.08321377331420372
259,2961,filledg_allupper_,1610,0.08747044917257683
288,3132,filledg_allupper_,1710,0.09195402298850575
309,3311,filledg_allupper_,1810,0.093325279371791
330,3490,filledg_allupper_,1910,0.09455587392550144
354,3666,filledg_allupper_,2010,0.09656301145662848
377,3843,filledg_allupper_,2110,0.09810044236273745
396,4024,filledg_allupper_,2210,0.09840954274353876
419,4201,filledg_allupper_,2310,0.09973815758152821
438,4382,filledg_allupper_,2410,0.09995435874030123
461,4559,filledg_allupper_,2510,0.10111866637420487
477,4743,filledg_allupper_,2610,0.10056925996204934
500,4920,filledg_allupper_,2710,0.1016260162601626
518,5102,filledg_allupper_,2810,0.10152881223049784
546,5274,filledg_allupper_,2910,0.10352673492605233
566,5454,filledg_allupper_,3010,0.10377704437110377
594,5626,filledg_allupper_,3110,0.10558123000355492
617,5803,filledg_allupper_,3210,0.10632431500947785
641,5979,filledg_allupper_,3310,0.10720856330490049
667,6153,filledg_allupper_,3410,0.10840240533073298
683,6337,filledg_allupper_,3510,0.10777970648571879
702,6518,filledg_allupper_,3610,0.10770174900276158
724,6696,filledg_allupper_,3710,0.1081242532855436
748,6872,filledg_allupper_,3810,0.10884749708963912
770,7050,filledg_allupper_,3910,0.10921985815602837
785,7235,filledg_allupper_,4010,0.10850034554250172
813,7407,filledg_allupper_,4110,0.10976103685702714
844,7576,filledg_allupper_,4210,0.11140443505807814
865,7755,filledg_allupper_,4310,0.11154094132817537
902,7918,filledg_allupper_,4410,0.11391765597373074
933,8087,filledg_allupper_,4510,0.11537034747125015
956,8264,filledg_allupper_,4610,0.11568247821878025
981,8439,filledg_allupper_,4710,0.11624600071098472
1002,8618,filledg_allupper_,4810,0.11626827570201903
1030,8790,filledg_allupper_,4910,0.11717861205915814
