size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
3,217,filledlowerupper_,110,0.013824884792626729
7,413,filledlowerupper_,210,0.01694915254237288
16,604,filledlowerupper_,310,0.026490066225165563
25,795,filledlowerupper_,410,0.031446540880503145
29,991,filledlowerupper_,510,0.029263370332996974
39,1181,filledlowerupper_,610,0.03302286198137172
45,1375,filledlowerupper_,710,0.03272727272727273
52,1568,filledlowerupper_,810,0.03316326530612245
61,1759,filledlowerupper_,910,0.03467879476975554
68,1952,filledlowerupper_,1010,0.03483606557377049
79,2141,filledlowerupper_,1110,0.036898645492760396
87,2333,filledlowerupper_,1210,0.0372910415773682
95,2525,filledlowerupper_,1310,0.03762376237623762
105,2715,filledlowerupper_,1410,0.03867403314917127
112,2908,filledlowerupper_,1510,0.03851444291609354
119,3101,filledlowerupper_,1610,0.03837471783295711
127,3293,filledlowerupper_,1710,0.03856665654418463
134,3486,filledlowerupper_,1810,0.03843947217441193
148,3672,filledlowerupper_,1910,0.04030501089324619
155,3865,filledlowerupper_,2010,0.040103492884864166
162,4058,filledlowerupper_,2110,0.03992114342040414
173,4247,filledlowerupper_,2210,0.04073463621379798
183,4437,filledlowerupper_,2310,0.041244083840432724
193,4627,filledlowerupper_,2410,0.041711692241193
207,4813,filledlowerupper_,2510,0.0430085185954706
218,5002,filledlowerupper_,2610,0.04358256697321072
227,5193,filledlowerupper_,2710,0.04371269015983054
237,5383,filledlowerupper_,2810,0.044027493962474455
241,5579,filledlowerupper_,2910,0.043197705682021866
255,5765,filledlowerupper_,3010,0.04423243712055507
263,5957,filledlowerupper_,3110,0.044149739801913716
276,6144,filledlowerupper_,3210,0.044921875
288,6332,filledlowerupper_,3310,0.045483259633607075
296,6524,filledlowerupper_,3410,0.045370938074800735
304,6716,filledlowerupper_,3510,0.04526503871351995
316,6904,filledlowerupper_,3610,0.04577056778679027
325,7095,filledlowerupper_,3710,0.04580690627202255
335,7285,filledlowerupper_,3810,0.04598490048043926
350,7470,filledlowerupper_,3910,0.04685408299866131
368,7652,filledlowerupper_,4010,0.04809200209095661
378,7842,filledlowerupper_,4110,0.04820198928844682
395,8025,filledlowerupper_,4210,0.049221183800623056
399,8221,filledlowerupper_,4310,0.04853424157645055
413,8407,filledlowerupper_,4410,0.049125728559533725
429,8591,filledlowerupper_,4510,0.0499359795134443
440,8780,filledlowerupper_,4610,0.05011389521640091
452,8968,filledlowerupper_,4710,0.0504014272970562
463,9157,filledlowerupper_,4810,0.050562411270066616
474,9346,filledlowerupper_,4910,0.05071688422854697
