size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
22,198,filledlowerupper_,110,0.1111111111111111
41,379,filledlowerupper_,210,0.10817941952506596
58,562,filledlowerupper_,310,0.10320284697508897
75,745,filledlowerupper_,410,0.10067114093959731
101,919,filledlowerupper_,510,0.10990206746463548
124,1096,filledlowerupper_,610,0.11313868613138686
141,1279,filledlowerupper_,710,0.11024237685691947
162,1458,filledlowerupper_,810,0.1111111111111111
191,1629,filledlowerupper_,910,0.1172498465316145
214,1806,filledlowerupper_,1010,0.1184939091915836
231,1989,filledlowerupper_,1110,0.11613876319758673
253,2167,filledlowerupper_,1210,0.116751269035533
279,2341,filledlowerupper_,1310,0.11917983767620675
306,2514,filledlowerupper_,1410,0.12171837708830549
328,2692,filledlowerupper_,1510,0.12184249628528974
355,2865,filledlowerupper_,1610,0.12390924956369982
374,3046,filledlowerupper_,1710,0.12278397898883782
404,3216,filledlowerupper_,1810,0.1256218905472637
423,3397,filledlowerupper_,1910,0.1245216367382985
448,3572,filledlowerupper_,2010,0.12541993281075028
475,3745,filledlowerupper_,2110,0.1268357810413885
498,3922,filledlowerupper_,2210,0.12697603263641
516,4104,filledlowerupper_,2310,0.12573099415204678
538,4282,filledlowerupper_,2410,0.1256422232601588
559,4461,filledlowerupper_,2510,0.12530822685496526
579,4641,filledlowerupper_,2610,0.12475759534583064
600,4820,filledlowerupper_,2710,0.12448132780082988
620,5000,filledlowerupper_,2810,0.124
652,5168,filledlowerupper_,2910,0.12616099071207432
683,5337,filledlowerupper_,3010,0.12797451751920555
707,5513,filledlowerupper_,3110,0.12824233629602758
732,5688,filledlowerupper_,3210,0.12869198312236288
752,5868,filledlowerupper_,3310,0.1281526925698705
778,6042,filledlowerupper_,3410,0.12876530950016551
802,6218,filledlowerupper_,3510,0.1289803795432615
822,6398,filledlowerupper_,3610,0.12847764926539543
853,6567,filledlowerupper_,3710,0.12989188366072787
875,6745,filledlowerupper_,3810,0.12972572275759822
897,6923,filledlowerupper_,3910,0.12956810631229235
924,7096,filledlowerupper_,4010,0.13021420518602028
954,7266,filledlowerupper_,4110,0.13129644921552436
980,7440,filledlowerupper_,4210,0.13172043010752688
1001,7619,filledlowerupper_,4310,0.13138207113794462
1026,7794,filledlowerupper_,4410,0.13163972286374134
1047,7973,filledlowerupper_,4510,0.1313181989213596
1071,8149,filledlowerupper_,4610,0.1314271689777887
1088,8332,filledlowerupper_,4710,0.13058089294287087
1113,8507,filledlowerupper_,4810,0.13083343129187727
1135,8685,filledlowerupper_,4910,0.13068508923431202
