size intersection,size union,state,k,mean JI
7,13,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.34942182001005523
63,157,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.38098212515016056
126,294,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.40809726336042124
194,426,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.4246482814403317
266,554,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.43176692142845785
347,673,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.46331960114858545
410,810,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.4593986975490629
485,935,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.47343901725156295
565,1055,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.4735873944735333
639,1181,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.47414561192516497
717,1303,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.4769476817457283
797,1423,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.48511916830149376
869,1551,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.4869138790764245
948,1672,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.49407671040335766
1021,1799,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.49814773548091923
1096,1924,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.4974882690283045
1157,2063,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.49306062668327816
1235,2185,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.4943384320497978
1295,2325,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.4938463625855505
1361,2459,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.48990875499018527
1439,2581,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.49126919717494877
1506,2714,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.489860415484569
1574,2846,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.49291434255857625
1650,2970,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.4969920997318258
1725,3095,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.49751625064596205
1803,3217,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.5009914400744434
1866,3354,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.49808103191925696
1938,3482,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.4986054206519279
2011,3609,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.4976736116763236
2083,3737,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.49664100403777584
2151,3869,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.49868539801175443
2224,3996,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.4984479192452742
2302,4118,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.5002294509366609
2385,4235,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.5006461953195037
2468,4352,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.504468516394726
2530,4490,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.5019242379860808
2597,4623,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.5008187390542816
2672,4748,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.5017258045649855
2747,4873,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.5021723126812843
2830,4990,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.5047005226180165
2899,5121,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.5034093014474329
2967,5253,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.5040103196254603
3046,5374,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.5062755276857512
3118,5502,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.5077845640098103
3196,5624,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.5099075277753179
3275,5745,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.5111511487510582
3357,5863,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.5123209228969084
3434,5986,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.5126804361012068
3513,6107,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.51434440667656
3593,6227,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.5146428498687149
