size intersection,size union,state,k,mean JI
4,16,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.08333333333333333
63,157,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.249452603793871
122,298,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.2530537437901083
198,422,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.2638317634138878
272,548,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.2720794400485255
343,677,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.2745163326910218
425,795,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.2854140725411334
484,936,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.28678940692571125
558,1062,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.2922393583612575
636,1184,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.3010710734225145
700,1320,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.306514071357285
766,1454,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.30597724024707434
828,1592,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.30581972583099515
904,1716,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.3133414579988807
982,1838,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.3153758164154736
1042,1978,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.31204132197801054
1118,2102,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.31387785787512773
1188,2232,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.31414971577289225
1255,2365,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.314407707810238
1328,2492,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.3157384448159772
1401,2619,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.3170631526510798
1466,2754,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.319923013548595
1545,2875,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.3225672325033599
1620,3000,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.32398350851472496
1689,3131,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.32369249726366117
1761,3259,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.32359536857796295
1835,3385,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.32542173152619225
1898,3522,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.3246947408281437
1971,3649,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.3270988378637639
2044,3776,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.32866382218274964
2117,3903,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.3302843715772678
2183,4037,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.3315670285873576
2254,4166,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.3332392148435013
2329,4291,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.33429579242415314
2403,4417,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.3356934671548029
2478,4542,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.33671308820842416
2543,4677,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.33662259110355874
2611,4809,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.337065034629984
2687,4933,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.33772847535773926
2767,5053,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.3398064226392319
2856,5164,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.3423044471728649
2931,5289,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.3425168002808596
2997,5423,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.3438581022506364
3072,5548,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.3445660543698667
3139,5681,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.34438600121626345
3210,5810,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.34491043130956883
3299,5921,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.3465997524702377
3376,6044,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.34728966767692976
3441,6179,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.3474829298641539
3515,6305,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.34858006717847817
