size intersection,size union,state,k,mean JI
9,11,filledlowerupper_,10,0.8181818181818182
61,159,filledlowerupper_,110,0.3836477987421384
118,302,filledlowerupper_,210,0.39072847682119205
166,454,filledlowerupper_,310,0.3656387665198238
235,585,filledlowerupper_,410,0.4017094017094017
299,721,filledlowerupper_,510,0.4147018030513176
366,854,filledlowerupper_,610,0.42857142857142855
430,990,filledlowerupper_,710,0.43434343434343436
481,1139,filledlowerupper_,810,0.42230026338893767
539,1281,filledlowerupper_,910,0.4207650273224044
613,1407,filledlowerupper_,1010,0.43567874911158494
682,1538,filledlowerupper_,1110,0.4434330299089727
753,1667,filledlowerupper_,1210,0.4517096580683863
822,1798,filledlowerupper_,1310,0.457174638487208
881,1939,filledlowerupper_,1410,0.45435791645177925
953,2067,filledlowerupper_,1510,0.4610546686018384
1013,2207,filledlowerupper_,1610,0.4589941096511101
1065,2355,filledlowerupper_,1710,0.45222929936305734
1121,2499,filledlowerupper_,1810,0.4485794317727091
1183,2637,filledlowerupper_,1910,0.4486158513462268
1243,2777,filledlowerupper_,2010,0.44760532949225784
1305,2915,filledlowerupper_,2110,0.44768439108061747
1362,3058,filledlowerupper_,2210,0.44538914323086987
1428,3192,filledlowerupper_,2310,0.4473684210526316
1482,3338,filledlowerupper_,2410,0.4439784301977232
1537,3483,filledlowerupper_,2510,0.4412862474877979
1593,3627,filledlowerupper_,2610,0.4392059553349876
1645,3775,filledlowerupper_,2710,0.4357615894039735
1705,3915,filledlowerupper_,2810,0.4355044699872286
1765,4055,filledlowerupper_,2910,0.4352651048088779
1827,4193,filledlowerupper_,3010,0.4357262103505843
1884,4336,filledlowerupper_,3110,0.4345018450184502
1950,4470,filledlowerupper_,3210,0.436241610738255
2010,4610,filledlowerupper_,3310,0.4360086767895879
2070,4750,filledlowerupper_,3410,0.4357894736842105
2132,4888,filledlowerupper_,3510,0.43617021276595747
2202,5018,filledlowerupper_,3610,0.4388202471104026
2259,5161,filledlowerupper_,3710,0.4377058709552412
2329,5291,filledlowerupper_,3810,0.4401814401814402
2393,5427,filledlowerupper_,3910,0.44094343099318223
2471,5549,filledlowerupper_,4010,0.44530546044332314
2532,5688,filledlowerupper_,4110,0.4451476793248945
2603,5817,filledlowerupper_,4210,0.44748151968368577
2662,5958,filledlowerupper_,4310,0.4467942262504196
2725,6095,filledlowerupper_,4410,0.4470877768662838
2787,6233,filledlowerupper_,4510,0.4471362104925397
2846,6374,filledlowerupper_,4610,0.4465014119861939
2908,6512,filledlowerupper_,4710,0.4465601965601966
2979,6641,filledlowerupper_,4810,0.4485770215329017
3055,6765,filledlowerupper_,4910,0.4515890613451589
