size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
14,206,filledlowerupper_,110,0.06796116504854369
34,386,filledlowerupper_,210,0.08808290155440414
70,550,filledlowerupper_,310,0.12727272727272726
110,710,filledlowerupper_,410,0.15492957746478872
142,878,filledlowerupper_,510,0.16173120728929385
184,1036,filledlowerupper_,610,0.1776061776061776
215,1205,filledlowerupper_,710,0.17842323651452283
259,1361,filledlowerupper_,810,0.19030124908155768
301,1519,filledlowerupper_,910,0.19815668202764977
348,1672,filledlowerupper_,1010,0.20813397129186603
409,1811,filledlowerupper_,1110,0.22584207620099392
466,1954,filledlowerupper_,1210,0.23848515864892528
506,2114,filledlowerupper_,1310,0.23935666982024598
556,2264,filledlowerupper_,1410,0.24558303886925795
613,2407,filledlowerupper_,1510,0.2546738678853344
661,2559,filledlowerupper_,1610,0.25830402500976946
706,2714,filledlowerupper_,1710,0.26013264554163595
760,2860,filledlowerupper_,1810,0.26573426573426573
814,3006,filledlowerupper_,1910,0.270791749833666
856,3164,filledlowerupper_,2010,0.27054361567635904
911,3309,filledlowerupper_,2110,0.2753097612571774
969,3451,filledlowerupper_,2210,0.28078817733990147
1018,3602,filledlowerupper_,2310,0.28262076624097726
1088,3732,filledlowerupper_,2410,0.2915326902465166
1134,3886,filledlowerupper_,2510,0.29181677817807516
1186,4034,filledlowerupper_,2610,0.29400099157164106
1241,4179,filledlowerupper_,2710,0.2969609954534578
1295,4325,filledlowerupper_,2810,0.2994219653179191
1358,4462,filledlowerupper_,2910,0.30434782608695654
1421,4599,filledlowerupper_,3010,0.3089802130898021
1482,4738,filledlowerupper_,3110,0.3127902068383284
1517,4903,filledlowerupper_,3210,0.30940240668978175
1583,5037,filledlowerupper_,3310,0.3142743696644828
1637,5183,filledlowerupper_,3410,0.3158402469612194
1692,5328,filledlowerupper_,3510,0.31756756756756754
1745,5475,filledlowerupper_,3610,0.3187214611872146
1818,5602,filledlowerupper_,3710,0.32452695465905035
1882,5738,filledlowerupper_,3810,0.3279888462879052
1939,5881,filledlowerupper_,3910,0.3297058323414385
2005,6015,filledlowerupper_,4010,0.3333333333333333
2062,6158,filledlowerupper_,4110,0.33484897694056515
2116,6304,filledlowerupper_,4210,0.3356598984771574
2188,6432,filledlowerupper_,4310,0.3401741293532338
2241,6579,filledlowerupper_,4410,0.34062927496580025
2290,6730,filledlowerupper_,4510,0.34026745913818723
2342,6878,filledlowerupper_,4610,0.34050596103518466
2388,7032,filledlowerupper_,4710,0.3395904436860068
2450,7170,filledlowerupper_,4810,0.3417015341701534
2504,7316,filledlowerupper_,4910,0.34226353198469106
