size intersection,size union,state,k,mean JI
0,20,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,10,0.0
18,202,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,110,0.03431126522790528
50,370,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,210,0.04744312657981723
77,543,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,310,0.04943276490237816
114,706,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,410,0.05586935238128341
146,874,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,510,0.05765183918772792
183,1037,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,610,0.060744424051324415
218,1202,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,710,0.06305109497028934
265,1355,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,810,0.06746488061382261
311,1509,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,910,0.07072216428869617
365,1655,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1010,0.07550333710071254
411,1809,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1110,0.07784461415473738
447,1973,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1210,0.07870756295756881
505,2115,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1310,0.08292092074978907
546,2274,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1410,0.08384472736586446
595,2425,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1510,0.08612493769342809
640,2580,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1610,0.08801374277924416
690,2730,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1710,0.08985659999406782
739,2881,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1810,0.09117209846714742
791,3029,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,1910,0.09321779837043383
837,3183,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2010,0.09393623264531188
887,3333,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2110,0.09573869949028874
940,3480,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2210,0.09775172449353385
991,3629,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2310,0.09891970774469071
1032,3788,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2410,0.09979389608261607
1076,3944,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2510,0.10140391354329649
1130,4090,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2610,0.10380529365846446
1172,4248,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2710,0.10464406153577023
1227,4393,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2810,0.10662211654730157
1284,4536,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,2910,0.10859846325296052
1327,4693,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3010,0.10934221851379344
1383,4837,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3110,0.11237590217039506
1437,4983,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3210,0.11374361424433303
1504,5116,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3310,0.11666173032574932
1559,5261,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3410,0.11817470052747248
1608,5412,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3510,0.119331565658737
1661,5559,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3610,0.12074126435471629
1706,5714,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3710,0.12161811635968905
1750,5870,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3810,0.12232900177593396
1803,6017,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,3910,0.12383591469066518
1859,6161,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4010,0.12502884267378067
1917,6303,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4110,0.12687304862713078
1969,6451,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4210,0.12776404103336994
2015,6605,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4310,0.12842615647138442
2068,6752,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4410,0.12976167719204998
2120,6900,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4510,0.13105501900891528
2180,7040,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4610,0.1327926066032915
2232,7188,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4710,0.1335522502042534
2288,7332,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4810,0.1348955623361647
2348,7472,filledasianblack or african american_filledasianwhite_filledblack or african americanwhite_,4910,0.13634713697156894
