size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.1328976034858388
38,182,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.17112324431398881
82,338,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.21992326554217714
129,491,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.2527828828805865
166,654,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.26681032203570154
225,795,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.2954099528268446
270,950,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.30200843244780945
313,1107,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.3021659136730741
373,1247,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.31850198237557487
426,1394,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.3197342676728643
487,1533,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.330974172876328
535,1685,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.32839077841378894
590,1830,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.3291809520869223
645,1975,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.3333653945099859
693,2127,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.33154914155655363
743,2277,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.33067267401398603
782,2438,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.32792562148132864
844,2576,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.33164101558577413
902,2718,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.32956857659180844
949,2871,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.32944401565191356
992,3028,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.3293284747313285
1040,3180,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.3279869197564554
1097,3323,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.329036657799292
1151,3469,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.3304830019723726
1196,3624,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.330354390576825
1237,3783,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.3283388266973963
1285,3935,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.32682615988230085
1337,4083,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.3253210244768073
1387,4233,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.3255029379232672
1434,4386,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.32505479948417154
1483,4537,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.32338937039836196
1516,4704,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.3206996907607801
1578,4842,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.322898034745627
1622,4998,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.3219754489784462
1667,5153,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.3209399525156929
1716,5304,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.32013503914910313
1770,5450,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.32018077557975916
1813,5607,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.31959564649025174
1851,5769,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.31904559523000986
1885,5935,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.31674574474848666
1934,6086,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.31622241308650856
1980,6240,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.31466762427971
2035,6385,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.3150445415625485
2081,6539,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.31454800819924716
2135,6685,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.3148513440251268
2189,6831,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.3144976306148538
2237,6983,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.314148954372439
2287,7133,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.31395295882494906
2327,7293,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.31356710018711825
2371,7449,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.31210549636986035
