size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
48,172,filledfemalemale_,110,0.27906976744186046
110,310,filledfemalemale_,210,0.3548387096774194
172,448,filledfemalemale_,310,0.38392857142857145
232,588,filledfemalemale_,410,0.3945578231292517
302,718,filledfemalemale_,510,0.4206128133704735
376,844,filledfemalemale_,610,0.44549763033175355
430,990,filledfemalemale_,710,0.43434343434343436
504,1116,filledfemalemale_,810,0.45161290322580644
559,1261,filledfemalemale_,910,0.44329896907216493
632,1388,filledfemalemale_,1010,0.4553314121037464
696,1524,filledfemalemale_,1110,0.4566929133858268
757,1663,filledfemalemale_,1210,0.45520144317498495
827,1793,filledfemalemale_,1310,0.4612381483547128
887,1933,filledfemalemale_,1410,0.45887221934816347
943,2077,filledfemalemale_,1510,0.45402022147327875
1005,2215,filledfemalemale_,1610,0.45372460496614
1060,2360,filledfemalemale_,1710,0.4491525423728814
1123,2497,filledfemalemale_,1810,0.44973968762515015
1185,2635,filledfemalemale_,1910,0.4497153700189753
1249,2771,filledfemalemale_,2010,0.4507398051245038
1304,2916,filledfemalemale_,2110,0.44718792866941015
1360,3060,filledfemalemale_,2210,0.4444444444444444
1422,3198,filledfemalemale_,2310,0.4446529080675422
1479,3341,filledfemalemale_,2410,0.44268183178689013
1533,3487,filledfemalemale_,2510,0.43963292228276457
1588,3632,filledfemalemale_,2610,0.43722466960352424
1647,3773,filledfemalemale_,2710,0.43652266101245696
1689,3931,filledfemalemale_,2810,0.4296616636988044
1744,4076,filledfemalemale_,2910,0.4278704612365064
1795,4225,filledfemalemale_,3010,0.42485207100591715
1848,4372,filledfemalemale_,3110,0.42268984446477587
1909,4511,filledfemalemale_,3210,0.42318776324540014
1963,4657,filledfemalemale_,3310,0.42151599742323387
2021,4799,filledfemalemale_,3410,0.4211294019587414
2081,4939,filledfemalemale_,3510,0.421340352298036
2147,5073,filledfemalemale_,3610,0.4232209737827715
2205,5215,filledfemalemale_,3710,0.4228187919463087
2269,5351,filledfemalemale_,3810,0.4240328910484022
2331,5489,filledfemalemale_,3910,0.4246675168518856
2385,5635,filledfemalemale_,4010,0.42324755989352264
2432,5788,filledfemalemale_,4110,0.4201796821008984
2491,5929,filledfemalemale_,4210,0.42013830325518636
2539,6081,filledfemalemale_,4310,0.4175300115112646
2598,6222,filledfemalemale_,4410,0.4175506268081003
2651,6369,filledfemalemale_,4510,0.4162348877374784
2719,6501,filledfemalemale_,4610,0.41824334717735734
2772,6648,filledfemalemale_,4710,0.41696750902527074
2826,6794,filledfemalemale_,4810,0.4159552546364439
2882,6938,filledfemalemale_,4910,0.41539348515422314
