size intersection,size union,state,k,mean JI
4,16,filledlowerupper_,10,0.25
44,176,filledlowerupper_,110,0.25
108,312,filledlowerupper_,210,0.34615384615384615
167,453,filledlowerupper_,310,0.3686534216335541
230,590,filledlowerupper_,410,0.3898305084745763
288,732,filledlowerupper_,510,0.39344262295081966
333,887,filledlowerupper_,610,0.3754227733934611
383,1037,filledlowerupper_,710,0.36933461909353904
443,1177,filledlowerupper_,810,0.37638062871707734
500,1320,filledlowerupper_,910,0.3787878787878788
556,1464,filledlowerupper_,1010,0.3797814207650273
606,1614,filledlowerupper_,1110,0.3754646840148699
665,1755,filledlowerupper_,1210,0.3789173789173789
715,1905,filledlowerupper_,1310,0.3753280839895013
774,2046,filledlowerupper_,1410,0.3782991202346041
825,2195,filledlowerupper_,1510,0.37585421412300685
869,2351,filledlowerupper_,1610,0.3696299447043811
913,2507,filledlowerupper_,1710,0.36418029517351413
965,2655,filledlowerupper_,1810,0.3634651600753296
1025,2795,filledlowerupper_,1910,0.3667262969588551
1079,2941,filledlowerupper_,2010,0.36688201292077527
1124,3096,filledlowerupper_,2110,0.36304909560723514
1160,3260,filledlowerupper_,2210,0.3558282208588957
1205,3415,filledlowerupper_,2310,0.3528550512445095
1246,3574,filledlowerupper_,2410,0.34862898712926693
1297,3723,filledlowerupper_,2510,0.34837496642492616
1341,3879,filledlowerupper_,2610,0.345707656612529
1391,4029,filledlowerupper_,2710,0.34524695954331097
1445,4175,filledlowerupper_,2810,0.3461077844311377
1484,4336,filledlowerupper_,2910,0.3422509225092251
1535,4485,filledlowerupper_,3010,0.34225195094760313
1587,4633,filledlowerupper_,3110,0.34254262896611265
1635,4785,filledlowerupper_,3210,0.34169278996865204
1691,4929,filledlowerupper_,3310,0.343071616960844
1735,5085,filledlowerupper_,3410,0.34119960668633237
1783,5237,filledlowerupper_,3510,0.3404620966202024
1826,5394,filledlowerupper_,3610,0.3385242862439748
1880,5540,filledlowerupper_,3710,0.33935018050541516
1929,5691,filledlowerupper_,3810,0.3389562467053242
1980,5840,filledlowerupper_,3910,0.339041095890411
2029,5991,filledlowerupper_,4010,0.3386746786846937
2085,6135,filledlowerupper_,4110,0.33985330073349634
2134,6286,filledlowerupper_,4210,0.3394845688832326
2179,6441,filledlowerupper_,4310,0.3383015059773327
2236,6584,filledlowerupper_,4410,0.3396111786148238
2288,6732,filledlowerupper_,4510,0.33986928104575165
2335,6885,filledlowerupper_,4610,0.3391430646332607
2383,7037,filledlowerupper_,4710,0.3386386244138127
2433,7187,filledlowerupper_,4810,0.33852789759287605
2475,7345,filledlowerupper_,4910,0.3369639210347175
