size intersection,size union,state,k,mean JI
0,20,filledfemalemale_,10,0.0
13,207,filledfemalemale_,110,0.06280193236714976
41,379,filledfemalemale_,210,0.10817941952506596
68,552,filledfemalemale_,310,0.12318840579710146
106,714,filledfemalemale_,410,0.1484593837535014
148,872,filledfemalemale_,510,0.16972477064220184
178,1042,filledfemalemale_,610,0.1708253358925144
217,1203,filledfemalemale_,710,0.18038237738985868
258,1362,filledfemalemale_,810,0.1894273127753304
304,1516,filledfemalemale_,910,0.20052770448548812
339,1681,filledfemalemale_,1010,0.2016656751933373
380,1840,filledfemalemale_,1110,0.20652173913043478
417,2003,filledfemalemale_,1210,0.20818771842236644
460,2160,filledfemalemale_,1310,0.21296296296296297
497,2323,filledfemalemale_,1410,0.21394748170469222
538,2482,filledfemalemale_,1510,0.21676067687348913
577,2643,filledfemalemale_,1610,0.21831252364737042
613,2807,filledfemalemale_,1710,0.21838261489134306
660,2960,filledfemalemale_,1810,0.22297297297297297
712,3108,filledfemalemale_,1910,0.22908622908622908
750,3270,filledfemalemale_,2010,0.22935779816513763
796,3424,filledfemalemale_,2110,0.2324766355140187
834,3586,filledfemalemale_,2210,0.23257110987172336
879,3741,filledfemalemale_,2310,0.23496391339214115
928,3892,filledfemalemale_,2410,0.23843782117163412
981,4039,filledfemalemale_,2510,0.2428819014607576
1028,4192,filledfemalemale_,2610,0.2452290076335878
1073,4347,filledfemalemale_,2710,0.24683689901081204
1123,4497,filledfemalemale_,2810,0.2497220369134979
1172,4648,filledfemalemale_,2910,0.2521514629948365
1218,4802,filledfemalemale_,3010,0.2536443148688047
1272,4948,filledfemalemale_,3110,0.2570735650767987
1317,5103,filledfemalemale_,3210,0.25808348030570255
1362,5258,filledfemalemale_,3310,0.2590338531761126
1413,5407,filledfemalemale_,3410,0.2613279082670612
1447,5573,filledfemalemale_,3510,0.25964471559303787
1495,5725,filledfemalemale_,3610,0.2611353711790393
1532,5888,filledfemalemale_,3710,0.2601902173913043
1573,6047,filledfemalemale_,3810,0.26012898958161074
1616,6204,filledfemalemale_,3910,0.26047711154094133
1665,6355,filledfemalemale_,4010,0.2619984264358773
1702,6518,filledfemalemale_,4110,0.26112304387849034
1756,6664,filledfemalemale_,4210,0.2635054021608643
1805,6815,filledfemalemale_,4310,0.2648569332355099
1852,6968,filledfemalemale_,4410,0.26578645235361653
1893,7127,filledfemalemale_,4510,0.265609653430616
1939,7281,filledfemalemale_,4610,0.26630957286087076
1989,7431,filledfemalemale_,4710,0.26766249495357286
2047,7573,filledfemalemale_,4810,0.27030239006998547
2093,7727,filledfemalemale_,4910,0.27086838359000903
