size intersection,size union,state,k,mean JI
0,20,filledlowerupper_,10,0.0
3,217,filledlowerupper_,110,0.013824884792626729
17,403,filledlowerupper_,210,0.04218362282878412
34,586,filledlowerupper_,310,0.05802047781569966
44,776,filledlowerupper_,410,0.05670103092783505
58,962,filledlowerupper_,510,0.060291060291060294
68,1152,filledlowerupper_,610,0.059027777777777776
90,1330,filledlowerupper_,710,0.06766917293233082
111,1509,filledlowerupper_,810,0.073558648111332
139,1681,filledlowerupper_,910,0.0826888756692445
167,1853,filledlowerupper_,1010,0.0901241230437129
192,2028,filledlowerupper_,1110,0.09467455621301775
224,2196,filledlowerupper_,1210,0.10200364298724955
244,2376,filledlowerupper_,1310,0.1026936026936027
275,2545,filledlowerupper_,1410,0.10805500982318271
305,2715,filledlowerupper_,1510,0.11233885819521179
328,2892,filledlowerupper_,1610,0.11341632088520055
348,3072,filledlowerupper_,1710,0.11328125
375,3245,filledlowerupper_,1810,0.11556240369799692
399,3421,filledlowerupper_,1910,0.1166325635779012
437,3583,filledlowerupper_,2010,0.12196483393804075
460,3760,filledlowerupper_,2110,0.12234042553191489
487,3933,filledlowerupper_,2210,0.12382405288583778
518,4102,filledlowerupper_,2310,0.12627986348122866
546,4274,filledlowerupper_,2410,0.12774918109499298
579,4441,filledlowerupper_,2510,0.13037604143210987
611,4609,filledlowerupper_,2610,0.13256671729225428
642,4778,filledlowerupper_,2710,0.1343658434491419
671,4949,filledlowerupper_,2810,0.135582946049707
693,5127,filledlowerupper_,2910,0.13516676418958457
731,5289,filledlowerupper_,3010,0.13821138211382114
765,5455,filledlowerupper_,3110,0.14023831347387716
804,5616,filledlowerupper_,3210,0.14316239316239315
839,5781,filledlowerupper_,3310,0.14513060024217264
866,5954,filledlowerupper_,3410,0.14544843802485724
894,6126,filledlowerupper_,3510,0.14593535749265427
939,6281,filledlowerupper_,3610,0.14949848750199013
969,6451,filledlowerupper_,3710,0.15020926988063865
1001,6619,filledlowerupper_,3810,0.15123130382232966
1037,6783,filledlowerupper_,3910,0.15288220551378445
1064,6956,filledlowerupper_,4010,0.15296147211040828
1095,7125,filledlowerupper_,4110,0.15368421052631578
1130,7290,filledlowerupper_,4210,0.1550068587105624
1160,7460,filledlowerupper_,4310,0.1554959785522788
1193,7627,filledlowerupper_,4410,0.15641798872426904
1234,7786,filledlowerupper_,4510,0.15848959671204726
1269,7951,filledlowerupper_,4610,0.1596025657150044
1296,8124,filledlowerupper_,4710,0.15952732644017725
1337,8283,filledlowerupper_,4810,0.16141494627550404
1360,8460,filledlowerupper_,4910,0.1607565011820331
