size intersection,size union,state,k,mean JI
2,18,filledblack or african americanwhite_,10,0.1111111111111111
48,172,filledblack or african americanwhite_,110,0.27906976744186046
106,314,filledblack or african americanwhite_,210,0.3375796178343949
162,458,filledblack or african americanwhite_,310,0.3537117903930131
239,581,filledblack or african americanwhite_,410,0.4113597246127367
302,718,filledblack or african americanwhite_,510,0.4206128133704735
358,862,filledblack or african americanwhite_,610,0.41531322505800466
419,1001,filledblack or african americanwhite_,710,0.41858141858141856
479,1141,filledblack or african americanwhite_,810,0.4198071866783523
541,1279,filledblack or african americanwhite_,910,0.42298670836591085
615,1405,filledblack or african americanwhite_,1010,0.4377224199288256
668,1552,filledblack or african americanwhite_,1110,0.43041237113402064
736,1684,filledblack or african americanwhite_,1210,0.43705463182897863
802,1818,filledblack or african americanwhite_,1310,0.44114411441144114
871,1949,filledblack or african americanwhite_,1410,0.4468958440225757
925,2095,filledblack or african americanwhite_,1510,0.441527446300716
995,2225,filledblack or african americanwhite_,1610,0.44719101123595506
1060,2360,filledblack or african americanwhite_,1710,0.4491525423728814
1131,2489,filledblack or african americanwhite_,1810,0.45439935717155483
1198,2622,filledblack or african americanwhite_,1910,0.4569031273836766
1277,2743,filledblack or african americanwhite_,2010,0.46554866934013855
1343,2877,filledblack or african americanwhite_,2110,0.4668057003823427
1416,3004,filledblack or african americanwhite_,2210,0.47137150466045274
1477,3143,filledblack or african americanwhite_,2310,0.46993318485523383
1551,3269,filledblack or african americanwhite_,2410,0.4744570204955644
1612,3408,filledblack or african americanwhite_,2510,0.47300469483568075
1666,3554,filledblack or african americanwhite_,2610,0.46876758581879574
1727,3693,filledblack or african americanwhite_,2710,0.46764148388843757
1794,3826,filledblack or african americanwhite_,2810,0.46889702038682696
1847,3973,filledblack or african americanwhite_,2910,0.46488799395922475
1908,4112,filledblack or african americanwhite_,3010,0.46400778210116733
1976,4244,filledblack or african americanwhite_,3110,0.4655984919886899
2035,4385,filledblack or african americanwhite_,3210,0.4640820980615735
2109,4511,filledblack or african americanwhite_,3310,0.46752383063622255
2167,4653,filledblack or african americanwhite_,3410,0.4657210401891253
2234,4786,filledblack or african americanwhite_,3510,0.46677810279983284
2293,4927,filledblack or african americanwhite_,3610,0.46539476354779785
2356,5064,filledblack or african americanwhite_,3710,0.46524486571879936
2416,5204,filledblack or african americanwhite_,3810,0.4642582628747118
2475,5345,filledblack or african americanwhite_,3910,0.4630495790458372
2529,5491,filledblack or african americanwhite_,4010,0.46057184483700603
2577,5643,filledblack or african americanwhite_,4110,0.45667198298777245
2634,5786,filledblack or african americanwhite_,4210,0.45523677843069477
2697,5923,filledblack or african americanwhite_,4310,0.455343575890596
2762,6058,filledblack or african americanwhite_,4410,0.4559260482007263
2819,6201,filledblack or african americanwhite_,4510,0.4546040961135301
2887,6333,filledblack or african americanwhite_,4610,0.45586609821569557
2945,6475,filledblack or african americanwhite_,4710,0.4548262548262548
2995,6625,filledblack or african americanwhite_,4810,0.4520754716981132
3052,6768,filledblack or african americanwhite_,4910,0.4509456264775414
