size intersection,size union,state,k,mean JI
3,17,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,10,0.09391124871001033
48,172,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,110,0.17467538822750725
107,313,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,210,0.2327119947449884
185,435,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,310,0.29276885709560463
248,572,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,410,0.30301694065068285
324,696,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,510,0.320310339633462
403,817,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,610,0.3379907509174946
477,943,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,710,0.34157319331641894
545,1075,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,810,0.34477209337984044
621,1199,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,910,0.3512752468103626
685,1335,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1010,0.3549353197346646
762,1458,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1110,0.3552864561462445
827,1593,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1210,0.35515217129867044
900,1720,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1310,0.35680904696445265
956,1864,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1410,0.35586845741654566
1027,1993,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1510,0.35709654182862033
1098,2122,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1610,0.3577929082185067
1167,2253,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1710,0.3582873149763796
1236,2384,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1810,0.35739199688680406
1301,2519,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,1910,0.35494518314807527
1374,2646,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2010,0.3545112823145537
1450,2770,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2110,0.35442117890107944
1519,2901,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2210,0.3534037245603836
1573,3047,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2310,0.34870338421598257
1647,3173,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2410,0.34954932605758976
1715,3305,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2510,0.3509215484250621
1787,3433,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2610,0.35114085241128423
1844,3576,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2710,0.34892429244736506
1912,3708,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2810,0.34866854023755334
1975,3845,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,2910,0.34864931395202875
2043,3977,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3010,0.347174021448994
2101,4119,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3110,0.34483274807690806
2185,4235,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3210,0.3474636590328896
2251,4369,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3310,0.3478563319171024
2333,4487,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3410,0.34977503719614705
2413,4607,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3510,0.3515989833458333
2477,4743,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3610,0.3502043210162671
2542,4878,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3710,0.349504419852447
2607,5013,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3810,0.34696737065537153
2679,5141,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,3910,0.34795693134798245
2749,5271,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4010,0.34930460050575124
2808,5412,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4110,0.3483844277030952
2874,5546,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4210,0.3479651380456715
2942,5678,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4310,0.34736671059023133
3010,5810,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4410,0.347123853972458
3074,5946,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4510,0.3464055458988313
3139,6081,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4610,0.34609163642978896
3209,6211,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4710,0.34647800551071545
3283,6337,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4810,0.34661659593477917
3344,6476,filledstage istage ii_filledstage istage iii_filledstage iistage iii_,4910,0.3456411975637775
