size intersection,size union,state,k,mean JI
3,17,filledlowerupper_,10,0.17647058823529413
60,160,filledlowerupper_,110,0.375
122,298,filledlowerupper_,210,0.40939597315436244
188,432,filledlowerupper_,310,0.4351851851851852
258,562,filledlowerupper_,410,0.45907473309608543
334,686,filledlowerupper_,510,0.4868804664723032
405,815,filledlowerupper_,610,0.49693251533742333
474,946,filledlowerupper_,710,0.5010570824524313
543,1077,filledlowerupper_,810,0.5041782729805014
602,1218,filledlowerupper_,910,0.4942528735632184
672,1348,filledlowerupper_,1010,0.49851632047477745
740,1480,filledlowerupper_,1110,0.5
805,1615,filledlowerupper_,1210,0.4984520123839009
876,1744,filledlowerupper_,1310,0.5022935779816514
943,1877,filledlowerupper_,1410,0.5023974427277571
1013,2007,filledlowerupper_,1510,0.5047334329845541
1083,2137,filledlowerupper_,1610,0.5067852129153019
1149,2271,filledlowerupper_,1710,0.5059445178335535
1227,2393,filledlowerupper_,1810,0.5127455077308818
1305,2515,filledlowerupper_,1910,0.5188866799204771
1370,2650,filledlowerupper_,2010,0.5169811320754717
1433,2787,filledlowerupper_,2110,0.514172945819878
1509,2911,filledlowerupper_,2210,0.5183785640673308
1581,3039,filledlowerupper_,2310,0.5202369200394866
1649,3171,filledlowerupper_,2410,0.5200252286345002
1710,3310,filledlowerupper_,2510,0.5166163141993958
1784,3436,filledlowerupper_,2610,0.519208381839348
1864,3556,filledlowerupper_,2710,0.5241844769403825
1931,3689,filledlowerupper_,2810,0.5234480889129846
2002,3818,filledlowerupper_,2910,0.5243583027763227
2079,3941,filledlowerupper_,3010,0.5275310834813499
2144,4076,filledlowerupper_,3110,0.5260058881256133
2219,4201,filledlowerupper_,3210,0.5282075696262795
2284,4336,filledlowerupper_,3310,0.5267527675276753
2364,4456,filledlowerupper_,3410,0.5305206463195691
2439,4581,filledlowerupper_,3510,0.5324165029469549
2501,4719,filledlowerupper_,3610,0.5299851663488027
2574,4846,filledlowerupper_,3710,0.53115971935617
2644,4976,filledlowerupper_,3810,0.5313504823151125
2707,5113,filledlowerupper_,3910,0.529434774105222
2791,5229,filledlowerupper_,4010,0.5337540638745458
2870,5350,filledlowerupper_,4110,0.5364485981308411
2949,5471,filledlowerupper_,4210,0.5390239444342899
3018,5602,filledlowerupper_,4310,0.5387361656551232
3085,5735,filledlowerupper_,4410,0.5379250217959896
3155,5865,filledlowerupper_,4510,0.5379369138959932
3226,5994,filledlowerupper_,4610,0.5382048715382048
3293,6127,filledlowerupper_,4710,0.5374571568467439
3359,6261,filledlowerupper_,4810,0.5364957674492893
3432,6388,filledlowerupper_,4910,0.5372573575453976
