size intersection,size union,state,k,mean JI
4,16,filledfemalemale_,10,0.25
66,154,filledfemalemale_,110,0.42857142857142855
135,285,filledfemalemale_,210,0.47368421052631576
206,414,filledfemalemale_,310,0.4975845410628019
290,530,filledfemalemale_,410,0.5471698113207547
374,646,filledfemalemale_,510,0.5789473684210527
449,771,filledfemalemale_,610,0.582360570687419
511,909,filledfemalemale_,710,0.5621562156215621
584,1036,filledfemalemale_,810,0.5637065637065637
654,1166,filledfemalemale_,910,0.5608919382504288
737,1283,filledfemalemale_,1010,0.5744349181605611
802,1418,filledfemalemale_,1110,0.5655853314527504
863,1557,filledfemalemale_,1210,0.5542710340398201
927,1693,filledfemalemale_,1310,0.5475487300649734
1001,1819,filledfemalemale_,1410,0.5503023639362287
1084,1936,filledfemalemale_,1510,0.5599173553719008
1163,2057,filledfemalemale_,1610,0.5653864851725814
1226,2194,filledfemalemale_,1710,0.5587967183226983
1301,2319,filledfemalemale_,1810,0.5610176800344976
1382,2438,filledfemalemale_,1910,0.5668580803937654
1467,2553,filledfemalemale_,2010,0.5746180963572268
1548,2672,filledfemalemale_,2110,0.5793413173652695
1627,2793,filledfemalemale_,2210,0.5825277479412818
1699,2921,filledfemalemale_,2310,0.5816501198219788
1779,3041,filledfemalemale_,2410,0.5850049325879645
1841,3179,filledfemalemale_,2510,0.5791129285938974
1907,3313,filledfemalemale_,2610,0.5756112284938123
1963,3457,filledfemalemale_,2710,0.567833381544692
2035,3585,filledfemalemale_,2810,0.5676429567642957
2118,3702,filledfemalemale_,2910,0.5721231766612642
2187,3833,filledfemalemale_,3010,0.5705713540307853
2257,3963,filledfemalemale_,3110,0.569518041887459
2329,4091,filledfemalemale_,3210,0.5692984600342215
2390,4230,filledfemalemale_,3310,0.5650118203309693
2459,4361,filledfemalemale_,3410,0.5638614996560422
2533,4487,filledfemalemale_,3510,0.5645197236460887
2609,4611,filledfemalemale_,3610,0.565820863153329
2675,4745,filledfemalemale_,3710,0.5637513171759747
2745,4875,filledfemalemale_,3810,0.563076923076923
2822,4998,filledfemalemale_,3910,0.564625850340136
2897,5123,filledfemalemale_,4010,0.5654889713058755
2964,5256,filledfemalemale_,4110,0.5639269406392694
3037,5383,filledfemalemale_,4210,0.5641835407765187
3115,5505,filledfemalemale_,4310,0.5658492279745686
3201,5619,filledfemalemale_,4410,0.5696743192738921
3261,5759,filledfemalemale_,4510,0.5662441396075708
3325,5895,filledfemalemale_,4610,0.5640373197625106
3392,6028,filledfemalemale_,4710,0.5627073656270737
3455,6165,filledfemalemale_,4810,0.5604217356042174
3529,6291,filledfemalemale_,4910,0.5609601017326339
