size intersection,size union,state,k,mean JI
1,19,filledlowerupper_,10,0.05263157894736842
19,201,filledlowerupper_,110,0.0945273631840796
53,367,filledlowerupper_,210,0.1444141689373297
93,527,filledlowerupper_,310,0.17647058823529413
131,689,filledlowerupper_,410,0.19013062409288825
168,852,filledlowerupper_,510,0.19718309859154928
212,1008,filledlowerupper_,610,0.21031746031746032
262,1158,filledlowerupper_,710,0.22625215889464595
310,1310,filledlowerupper_,810,0.2366412213740458
338,1482,filledlowerupper_,910,0.22807017543859648
375,1645,filledlowerupper_,1010,0.22796352583586627
423,1797,filledlowerupper_,1110,0.2353923205342237
487,1933,filledlowerupper_,1210,0.25193998965338854
533,2087,filledlowerupper_,1310,0.2553905126976521
578,2242,filledlowerupper_,1410,0.25780553077609275
624,2396,filledlowerupper_,1510,0.2604340567612688
681,2539,filledlowerupper_,1610,0.26821583300512014
734,2686,filledlowerupper_,1710,0.2732688011913626
789,2831,filledlowerupper_,1810,0.278700105969622
835,2985,filledlowerupper_,1910,0.2797319932998325
888,3132,filledlowerupper_,2010,0.2835249042145594
927,3293,filledlowerupper_,2110,0.28150622532645003
968,3452,filledlowerupper_,2210,0.28041714947856317
1016,3604,filledlowerupper_,2310,0.28190899001109876
1056,3764,filledlowerupper_,2410,0.28055260361317746
1098,3922,filledlowerupper_,2510,0.2799592044875064
1139,4081,filledlowerupper_,2610,0.2790982602303357
1191,4229,filledlowerupper_,2710,0.28162686214235044
1244,4376,filledlowerupper_,2810,0.2842778793418647
1287,4533,filledlowerupper_,2910,0.28391793514228986
1329,4691,filledlowerupper_,3010,0.2833084630142827
1376,4844,filledlowerupper_,3110,0.28406275805119735
1425,4995,filledlowerupper_,3210,0.2852852852852853
1469,5151,filledlowerupper_,3310,0.2851873422636381
1521,5299,filledlowerupper_,3410,0.2870352896772976
1572,5448,filledlowerupper_,3510,0.28854625550660795
1623,5597,filledlowerupper_,3610,0.28997677327139537
1665,5755,filledlowerupper_,3710,0.2893136403127715
1722,5898,filledlowerupper_,3810,0.29196337741607326
1775,6045,filledlowerupper_,3910,0.293631100082713
1816,6204,filledlowerupper_,4010,0.2927143778207608
1870,6350,filledlowerupper_,4110,0.29448818897637796
1914,6506,filledlowerupper_,4210,0.29418997848140177
1968,6652,filledlowerupper_,4310,0.29585087191822007
2011,6809,filledlowerupper_,4410,0.2953443971214569
2056,6964,filledlowerupper_,4510,0.2952326249282022
2102,7118,filledlowerupper_,4610,0.29530767069401515
2153,7267,filledlowerupper_,4710,0.2962708132654465
2202,7418,filledlowerupper_,4810,0.29684551091938527
2260,7560,filledlowerupper_,4910,0.29894179894179895
